id,company_name,product_name,composition,highest_similarity_ids
1,サンプル堂,ロングラスティングマスカラEX,"イソドデカン,ポリエチレン,パルミチン酸デキストリン,トリメチルシリルプルラン,ビオチノイルトリペプチド-1,パンテノール,トコフェロール,クオタニウム-18ベントナイト,グリセリン,水,炭酸プロピレン,酸化鉄","285, 888, 355"
2,サンプル堂,ロング&カラードラッシュ,"イソドデカン, トリメチルシロキシケイ酸, タルク, メチルトリメチコン, 合成ワックス, ミツロウ, パルミチン酸デキストリン","1, 0, 734"
3,サンプル堂,ルースパウダー,"シリカ,ホウケイ酸（Ｃａ／Ａｌ）,ジメチコン,真珠層末,ポリクオタニウム－５１,ワイルドタイムエキス,セリシン,      ジステアリルジモニウムクロリド,トリエトキシシリルエチルポリジメチルシロキシエチルジメチコン,イソプロパノール,水,      テトラヒドロテトラメチルシクロテトラシロキサン,ＢＧ,テトラデセン,ステアリン酸,水酸化Ａｌ,クエン酸,      ソルビン酸Ｋ,フェノキシエタノール","2, 297, 296"
4,SHISEIDO,フローレス ルミエール ラディアンス パーフェクティング クッション ダブルレフィル ウィズ ケース リュクスゴールド 0C1,"水,ジメチコン,メトキシケイヒ酸エチルヘキシル,メチルトリメチコン,サリチル酸オクチル,ラウリルＰＥＧ－１０トリス（トリメチルシロキシ）シリルエチルジメチコン,ジ（カプリル／カプリン酸）BＧ,ジフェニルシロキシフェニルトリメチコン,グリセリン,ＢＧ,ナイアシンアミド,ペンチレングリコール,セチルジメチコン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,リンゴ酸ジイソステアリル,ジステアルジモニウムヘクトライト,（アクリレーツ／アクリル酸ステアリル／メタクリル酸ジメチコン）コポリマー,硫酸Ｍｇ,フェノキシエタノール,ジメチコンクロスポリマー,ＤＰＧ,ラウロイルリシン,エチルヘキシルグリセリン,パルミトイルプロリンＮａ,ステアリン酸,アルミナ,ポリヒドロキシステアリン酸,トリエトキシカプリリルシラン,水酸化Ａｌ,パルミチン酸エチルヘキシル,ミリスチン酸イソプロピル,イソステアリン酸,レシチン,アデノシン,１，２－ヘキサンジオール,ポリリシノレイン酸ポリグリセリル－３,ＥＤＴＡ－２Ｎａ,ビオサッカリドガム－４,ポリメチルシルセスキオキサン,ＢＨＴ,キシリチルグルコシド,無水キシリトール,ニンファエアアルバ花エキス,キシリトール,グルコース,トコフェロール,ダイヤモンド末,酸化チタン,マイカ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","172, 171, 170"
5,SHISEIDO,フローレス ルミエール ラディアンス パーフェクティング クッション ダブルレフィル ウィズ ケース リュクスゴールド 1C1,"水,ジメチコン,メトキシケイヒ酸エチルヘキシル,メチルトリメチコン,サリチル酸オクチル,ラウリルＰＥＧ－１０トリス（トリメチルシロキシ）シリルエチルジメチコン,ジ（カプリル／カプリン酸）BＧ,ジフェニルシロキシフェニルトリメチコン,グリセリン,ＢＧ,ナイアシンアミド,ペンチレングリコール,セチルジメチコン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,リンゴ酸ジイソステアリル,ジステアルジモニウムヘクトライト,（アクリレーツ／アクリル酸ステアリル／メタクリル酸ジメチコン）コポリマー,硫酸Ｍｇ,フェノキシエタノール,ジメチコンクロスポリマー,ＤＰＧ,ラウロイルリシン,エチルヘキシルグリセリン,パルミトイルプロリンＮａ,ステアリン酸,アルミナ,ポリヒドロキシステアリン酸,トリエトキシカプリリルシラン,水酸化Ａｌ,パルミチン酸エチルヘキシル,ミリスチン酸イソプロピル,イソステアリン酸,レシチン,アデノシン,１，２－ヘキサンジオール,ポリリシノレイン酸ポリグリセリル－３,ＥＤＴＡ－２Ｎａ,ビオサッカリドガム－４,ポリメチルシルセスキオキサン,ＢＨＴ,キシリチルグルコシド,無水キシリトール,ニンファエアアルバ花エキス,キシリトール,グルコース,トコフェロール,ダイヤモンド末,酸化チタン,マイカ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","172, 171, 170"
6,SHISEIDO,フローレス ルミエール ラディアンス パーフェクティング クッション ダブルレフィル ウィズ ケース リュクスゴールド 1N0,"水,ジメチコン,メトキシケイヒ酸エチルヘキシル,メチルトリメチコン,サリチル酸オクチル,ラウリルＰＥＧ－１０トリス（トリメチルシロキシ）シリルエチルジメチコン,ジ（カプリル／カプリン酸）BＧ,ジフェニルシロキシフェニルトリメチコン,グリセリン,ＢＧ,ナイアシンアミド,ペンチレングリコール,セチルジメチコン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,リンゴ酸ジイソステアリル,ジステアルジモニウムヘクトライト,（アクリレーツ／アクリル酸ステアリル／メタクリル酸ジメチコン）コポリマー,硫酸Ｍｇ,フェノキシエタノール,ジメチコンクロスポリマー,ＤＰＧ,ラウロイルリシン,エチルヘキシルグリセリン,パルミトイルプロリンＮａ,ステアリン酸,アルミナ,ポリヒドロキシステアリン酸,トリエトキシカプリリルシラン,水酸化Ａｌ,パルミチン酸エチルヘキシル,ミリスチン酸イソプロピル,イソステアリン酸,レシチン,アデノシン,１，２－ヘキサンジオール,ポリリシノレイン酸ポリグリセリル－３,ＥＤＴＡ－２Ｎａ,ビオサッカリドガム－４,ポリメチルシルセスキオキサン,ＢＨＴ,キシリチルグルコシド,無水キシリトール,ニンファエアアルバ花エキス,キシリトール,グルコース,トコフェロール,ダイヤモンド末,酸化チタン,マイカ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","172, 171, 170"
7,SHISEIDO,フローレス ルミエール ラディアンス パーフェクティング クッション ダブルレフィル ウィズ ケース リュクスゴールド 1W1,"水,ジメチコン,メトキシケイヒ酸エチルヘキシル,メチルトリメチコン,サリチル酸オクチル,ラウリルＰＥＧ－１０トリス（トリメチルシロキシ）シリルエチルジメチコン,ジ（カプリル／カプリン酸）BＧ,ジフェニルシロキシフェニルトリメチコン,グリセリン,ＢＧ,ナイアシンアミド,ペンチレングリコール,セチルジメチコン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,リンゴ酸ジイソステアリル,ジステアルジモニウムヘクトライト,（アクリレーツ／アクリル酸ステアリル／メタクリル酸ジメチコン）コポリマー,硫酸Ｍｇ,フェノキシエタノール,ジメチコンクロスポリマー,ＤＰＧ,ラウロイルリシン,エチルヘキシルグリセリン,パルミトイルプロリンＮａ,ステアリン酸,アルミナ,ポリヒドロキシステアリン酸,トリエトキシカプリリルシラン,水酸化Ａｌ,パルミチン酸エチルヘキシル,ミリスチン酸イソプロピル,イソステアリン酸,レシチン,アデノシン,１，２－ヘキサンジオール,ポリリシノレイン酸ポリグリセリル－３,ＥＤＴＡ－２Ｎａ,ビオサッカリドガム－４,ポリメチルシルセスキオキサン,ＢＨＴ,キシリチルグルコシド,無水キシリトール,ニンファエアアルバ花エキス,キシリトール,グルコース,トコフェロール,ダイヤモンド末,酸化チタン,マイカ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","172, 171, 170"
8,SHISEIDO,薬用 リンクル美つやリップ,"グリチルレチン酸ステアリル*,ニコチン酸アミド,シア脂,ワセリン,マカデミアナッツ油,重質流動イソパラフィン,トリイソステアリン酸グリセリル,リンゴ酸ジイソステアリル,Ｎ－ラウロイル－Ｌ－グルタミン酸ジ（フィトステリル・２－オクチルドデシル）,パラメトキシケイ皮酸２－エチルヘキシル,ポリエチレンワックス,メチルフェニルポリシロキサン,高融点マイクロクリスタリンワックス,キャンデリラロウ,テトラ２－エチルヘキサン酸ペンタエリトリット,ｄ－δ－トコフェロール,ハッカ油,シリコーン樹脂,ジイソステアリン酸グリセリル,オレンジ油,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,植物性スクワラン,香料,酸化チタン,雲母チタン,黄酸化鉄,ベンガラ,黒酸化鉄,赤色２２３号,赤色２０１号,青色１号　　*は「有効成分」無表示は「その他の成分」  商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","7, 176, 175"
9,SHISEIDO,ドラマティックエッセンスコンシーラー スティック ベビーピンクオークル,"ジメチコン,パラフィン,メトキシケイヒ酸エチルヘキシル,グリセリン,水,ＤＰＧ,ネオペンタン酸イソデシル,ＢＧ,水添ポリイソブテン,ポリリシノレイン酸ポリグリセリル－６,ＰＥＧ－１０ジメチコン,ポリエチレン,ジステアルジモニウムヘクトライト,グリシルグリシン,塩化Ｎａ,酢酸トコフェロール,アセチルヒアルロン酸Ｎａ,コウホネエキス,水溶性コラーゲン,マイクロクリスタリンワックス,水酸化Ａｌ,ビスブチルジメチコンポリグリセリル－３,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,ハイドロゲンジメチコン,シメチコン,トコフェロール,ＢＨＴ,シリカ,酸化亜鉛,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,パルミチン酸デキストリン,トリエトキシカプリリルシラン,フェノキシエタノール,酸化チタン,酸化鉄,マイカ,硫酸Ｂａ  商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","444, 443, 76"
10,SHISEIDO,ドラマティックエッセンスコンシーラー スティック ライトオークル,"ジメチコン,パラフィン,メトキシケイヒ酸エチルヘキシル,グリセリン,水,ＤＰＧ,ネオペンタン酸イソデシル,ＢＧ,水添ポリイソブテン,ポリリシノレイン酸ポリグリセリル－６,ＰＥＧ－１０ジメチコン,ポリエチレン,ジステアルジモニウムヘクトライト,グリシルグリシン,塩化Ｎａ,酢酸トコフェロール,アセチルヒアルロン酸Ｎａ,コウホネエキス,水溶性コラーゲン,マイクロクリスタリンワックス,水酸化Ａｌ,ビスブチルジメチコンポリグリセリル－３,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,ハイドロゲンジメチコン,シメチコン,トコフェロール,ＢＨＴ,シリカ,酸化亜鉛,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,パルミチン酸デキストリン,トリエトキシカプリリルシラン,フェノキシエタノール,酸化チタン,酸化鉄,マイカ,硫酸Ｂａ  商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","444, 443, 76"
