id,company_name,product_name,composition
361,"SHISEIDO","アイブローカラーワックス 55","シクロメチコン,水,タルク,トリメチルシロキシケイ酸,ＰＥＧ－１０ジメチコン,ＢＧ,ジステアルジモニウムヘクトライト,ジフェニルシロキシフェニルトリメチコン,炭酸Ｃａ,セスキイソステアリン酸ソルビタン,ポリメチルシルセスキオキサン,グルタミン酸Ｎａ,（メタクリル酸メチル／アクリロニトリル）コポリマー,アルギニン,マカデミアナッツ油,イソステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,トコフェロール,トリエトキシカプリリルシラン,シリカ,フェノキシエタノール,デヒドロ酢酸Ｎａ,マイカ,酸化鉄,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
362,"SHISEIDO","アイブローカラーワックス 66","シクロメチコン,水,タルク,トリメチルシロキシケイ酸,ＰＥＧ－１０ジメチコン,ＢＧ,ジステアルジモニウムヘクトライト,ジフェニルシロキシフェニルトリメチコン,炭酸Ｃａ,セスキイソステアリン酸ソルビタン,ポリメチルシルセスキオキサン,グルタミン酸Ｎａ,（メタクリル酸メチル／アクリロニトリル）コポリマー,アルギニン,マカデミアナッツ油,イソステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,トコフェロール,トリエトキシカプリリルシラン,シリカ,フェノキシエタノール,デヒドロ酢酸Ｎａ,マイカ,酸化鉄,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
363,"SHISEIDO","アイブローカラーワックス 77","シクロメチコン,水,タルク,トリメチルシロキシケイ酸,ＰＥＧ－１０ジメチコン,ＢＧ,ジステアルジモニウムヘクトライト,ジフェニルシロキシフェニルトリメチコン,炭酸Ｃａ,セスキイソステアリン酸ソルビタン,ポリメチルシルセスキオキサン,グルタミン酸Ｎａ,（メタクリル酸メチル／アクリロニトリル）コポリマー,アルギニン,マカデミアナッツ油,イソステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,トコフェロール,トリエトキシカプリリルシラン,シリカ,フェノキシエタノール,デヒドロ酢酸Ｎａ,マイカ,酸化鉄,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
368,"SHISEIDO","ラスティングフォギーブロウEX BR700","シクロペンタシロキサン,ポリエチレン,トリメチルシロキシケイ酸,脂肪酸（Ｃ１８－３６）グリコール,（アクリレーツ／アクリル酸ステアリル／メタクリル酸ジメチコン）コポリマー,セルロース,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ラウロイルリシン,水酸化Ａｌ,ジメチコン,マイカ,酸化鉄,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
369,"SHISEIDO","ラスティングフォギーブロウEX BR600","シクロペンタシロキサン,ポリエチレン,トリメチルシロキシケイ酸,脂肪酸（Ｃ１８－３６）グリコール,（アクリレーツ／アクリル酸ステアリル／メタクリル酸ジメチコン）コポリマー,セルロース,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ラウロイルリシン,水酸化Ａｌ,ジメチコン,マイカ,酸化鉄,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
380,"SHISEIDO","アイブロースタイリング 3D 50","タルク,ジメチコン,ナイロン－６,合成モクロウ,リンゴ酸ジイソステアリル,ポリメタクリル酸メチル,アセチルヒアルロン酸Ｎａ,シリカ,ステアリン酸Ｍｇ,水酸化Ａｌ,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,トコフェロール,グリセリン,酸化スズ,エチルパラベン,クロルフェネシン,メチルパラベン,マイカ,酸化鉄,酸化チタン,グンジョウ,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
381,"SHISEIDO","アイブロースタイリング 3D 60","タルク,ジメチコン,ナイロン－６,合成モクロウ,リンゴ酸ジイソステアリル,ポリメタクリル酸メチル,アセチルヒアルロン酸Ｎａ,シリカ,ステアリン酸Ｍｇ,水酸化Ａｌ,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,トコフェロール,グリセリン,酸化スズ,エチルパラベン,クロルフェネシン,メチルパラベン,マイカ,酸化鉄,酸化チタン,グンジョウ,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
400,"SHISEIDO","ブロウインクトリオ ペンシル 01","ステアリン酸,モクロウ,トリエチルヘキサノイン,水添ヒマシ油,テトラ（ヒドロキシステアリン酸／イソステアリン酸）ジペンタエリスリチル,トリ酢酸テトラステアリン酸スクロース,セスキオレイン酸ソルビタン,水酸化Ａｌ,トコフェロール,合成金雲母,酸化鉄,酸化チタン,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
401,"SHISEIDO","ブロウインクトリオ ペンシル 02","ステアリン酸,モクロウ,トリエチルヘキサノイン,水添ヒマシ油,テトラ（ヒドロキシステアリン酸／イソステアリン酸）ジペンタエリスリチル,トリ酢酸テトラステアリン酸スクロース,セスキオレイン酸ソルビタン,水酸化Ａｌ,トコフェロール,合成金雲母,酸化鉄,酸化チタン,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
402,"SHISEIDO","ブロウインクトリオ ペンシル 03","ステアリン酸,モクロウ,トリエチルヘキサノイン,水添ヒマシ油,テトラ（ヒドロキシステアリン酸／イソステアリン酸）ジペンタエリスリチル,トリ酢酸テトラステアリン酸スクロース,セスキオレイン酸ソルビタン,水酸化Ａｌ,トコフェロール,合成金雲母,酸化鉄,酸化チタン,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
403,"SHISEIDO","ブロウインクトリオ ペンシル 04","ステアリン酸,モクロウ,トリエチルヘキサノイン,水添ヒマシ油,テトラ（ヒドロキシステアリン酸／イソステアリン酸）ジペンタエリスリチル,トリ酢酸テトラステアリン酸スクロース,セスキオレイン酸ソルビタン,水酸化Ａｌ,トコフェロール,合成金雲母,酸化鉄,酸化チタン,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
840,"SHISEIDO","ブローカスタマイズ n BR660","ステアリン酸,合成モクロウ,水添ヒマシ油,パルミチン酸エチルヘキシル,ミツロウ,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,トコフェロール,シリカ,酸化鉄,合成金雲母,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
841,"SHISEIDO","ブローカスタマイズ n BR771","ステアリン酸,合成モクロウ,水添ヒマシ油,パルミチン酸エチルヘキシル,ミツロウ,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,トコフェロール,シリカ,酸化鉄,合成金雲母,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
842,"SHISEIDO","ブローカスタマイズ n BR782","ステアリン酸,合成モクロウ,水添ヒマシ油,パルミチン酸エチルヘキシル,ミツロウ,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,トコフェロール,シリカ,酸化鉄,合成金雲母,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
900,"SHISEIDO","アイブロウ フィクサー デュオ BROWN","ペンシルステアリン酸,水添ヒマシ油,合成モクロウ,リンゴ酸ジイソステアリル,ダイマージリノール酸（フィトステリル／イソステアリル／セチル／ステアリル／ベヘニル）,セスキイソステアリン酸ソルビタン,サフラワー油,ツバキ種子油,トコフェロール,水酸化Ａｌ,合成金雲母,酸化鉄,酸化チタンコート水,エタノール,（スチレン／アクリレーツ）コポリマー,ＰＶＰ,塩化Ｎａ,ポリアクリル酸アンモニウム,セリシン,ツバキ葉エキス,カルボマー,ＡＭＰ,ＢＧ,クエン酸,ソルビン酸Ｋ,フェノキシエタノール,デヒドロ酢酸Ｎａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
901,"SHISEIDO","アイブロウ フィクサー デュオ BLACK","ペンシルステアリン酸,水添ヒマシ油,合成モクロウ,リンゴ酸ジイソステアリル,ダイマージリノール酸（フィトステリル／イソステアリル／セチル／ステアリル／ベヘニル）,セスキイソステアリン酸ソルビタン,サフラワー油,ツバキ種子油,トコフェロール,水酸化Ａｌ,合成金雲母,酸化鉄,酸化チタンコート水,エタノール,（スチレン／アクリレーツ）コポリマー,ＰＶＰ,塩化Ｎａ,ポリアクリル酸アンモニウム,セリシン,ツバキ葉エキス,カルボマー,ＡＭＰ,ＢＧ,クエン酸,ソルビン酸Ｋ,フェノキシエタノール,デヒドロ酢酸Ｎａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
923,"SHISEIDO","くり出しアイブロー ダークブラウン662","ベヘン酸,モクロウ,酢酸ステアリン酸スクロース,トリエチルヘキサノイン,ダイマージリノール酸（フィトステリル／ベヘニル）,タルク,水添ヒマシ油,セスキイソステアリン酸ソルビタン,マカデミアナッツ油,水酸化Ａｌ,トコフェロール,マイカ,酸化鉄,酸化チタン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
