id,company_name,product_name,composition
16,"SHISEIDO","ドラマティックエッセンスコンシーラー スティック ベビーピンクオークル","ジメチコン,パラフィン,メトキシケイヒ酸エチルヘキシル,グリセリン,水,ＤＰＧ,ネオペンタン酸イソデシル,ＢＧ,水添ポリイソブテン,ポリリシノレイン酸ポリグリセリル－６,ＰＥＧ－１０ジメチコン,ポリエチレン,ジステアルジモニウムヘクトライト,グリシルグリシン,塩化Ｎａ,酢酸トコフェロール,アセチルヒアルロン酸Ｎａ,コウホネエキス,水溶性コラーゲン,マイクロクリスタリンワックス,水酸化Ａｌ,ビスブチルジメチコンポリグリセリル－３,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,ハイドロゲンジメチコン,シメチコン,トコフェロール,ＢＨＴ,シリカ,酸化亜鉛,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,パルミチン酸デキストリン,トリエトキシカプリリルシラン,フェノキシエタノール,酸化チタン,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
17,"SHISEIDO","ドラマティックエッセンスコンシーラー スティック ライトオークル","ジメチコン,パラフィン,メトキシケイヒ酸エチルヘキシル,グリセリン,水,ＤＰＧ,ネオペンタン酸イソデシル,ＢＧ,水添ポリイソブテン,ポリリシノレイン酸ポリグリセリル－６,ＰＥＧ－１０ジメチコン,ポリエチレン,ジステアルジモニウムヘクトライト,グリシルグリシン,塩化Ｎａ,酢酸トコフェロール,アセチルヒアルロン酸Ｎａ,コウホネエキス,水溶性コラーゲン,マイクロクリスタリンワックス,水酸化Ａｌ,ビスブチルジメチコンポリグリセリル－３,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,ハイドロゲンジメチコン,シメチコン,トコフェロール,ＢＨＴ,シリカ,酸化亜鉛,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,パルミチン酸デキストリン,トリエトキシカプリリルシラン,フェノキシエタノール,酸化チタン,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
18,"SHISEIDO","ドラマティックエッセンスコンシーラー スティック ミディアムオークル","ジメチコン,パラフィン,メトキシケイヒ酸エチルヘキシル,グリセリン,水,ＤＰＧ,ネオペンタン酸イソデシル,ＢＧ,水添ポリイソブテン,ポリリシノレイン酸ポリグリセリル－６,ＰＥＧ－１０ジメチコン,ポリエチレン,ジステアルジモニウムヘクトライト,グリシルグリシン,塩化Ｎａ,酢酸トコフェロール,アセチルヒアルロン酸Ｎａ,コウホネエキス,水溶性コラーゲン,マイクロクリスタリンワックス,水酸化Ａｌ,ビスブチルジメチコンポリグリセリル－３,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,ハイドロゲンジメチコン,シメチコン,トコフェロール,ＢＨＴ,シリカ,酸化亜鉛,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,パルミチン酸デキストリン,トリエトキシカプリリルシラン,フェノキシエタノール,酸化チタン,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
475,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 1C,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
476,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 2C,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
477,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 0 5N,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
478,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 1N,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
479,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 2N,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
480,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 1 5W,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
481,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 2W,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
