id,company_name,product_name,composition,highest_similarity_ids
342,SHISEIDO,ブラッシュ カラー インフュージョン 01,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
343,SHISEIDO,ブラッシュ カラー インフュージョン 02,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
344,SHISEIDO,ブラッシュ カラー インフュージョン 04,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
345,SHISEIDO,ブラッシュ カラー インフュージョン 05,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
346,SHISEIDO,ブラッシュ カラー インフュージョン 06,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
347,SHISEIDO,ブラッシュ カラー インフュージョン 07,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
348,SHISEIDO,ブラッシュ カラー インフュージョン 09,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
349,SHISEIDO,ブラッシュ カラー インフュージョン 11,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
350,SHISEIDO,ブラッシュ カラー インフュージョン 12,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
351,SHISEIDO,ブラッシュ カラー インフュージョン 13,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
352,SHISEIDO,ブラッシュ カラー インフュージョン 14,"タルク,マイカ,ジメチコン,ナイロン－１２,ステアリン酸亜鉛,シリカ,ミリスチン酸Ｍｇ,セチルジメチコン,フェノキシエタノール,カプリリルグリコール,ラウロイルリシン,ヘキシレングリコール,ヒアルロン酸Ｎａ,酸化チタン,酸化鉄,赤２０２商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","525, 524, 523"
359,SHISEIDO,ドラマティックムードヴェール PK200,"タルク,ワセリン,酸化亜鉛,ポリエチレン,シリカ,リンゴ酸ジイソステアリル,焼成セリサイト,テトラエチルヘキサン酸ペンタエリスリチル,ダイマージリノール酸ジ（イソステアリル／フィトステリル）,ジメチコン,ジフェニルジメチコン,ミリスチン酸亜鉛,合成ワックス,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,窒化ホウ素,（メタクリル酸メチル／アクリロニトリル）コポリマー,アセチルヒアルロン酸Ｎａ,セスキイソステアリン酸ソルビタン,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,（ジメチコン／（ＰＥＧ－１０／１５））クロスポリマー,ポリメチルシルセスキオキサン,エチルヘキシルグリセリン,ホウケイ酸（Ｃａ／Ａｌ）,ヒドロキシプロピルセルロース,ケイ酸（Ｎａ／Ｍｇ）,ハイドロゲンジメチコン,グリセリン,トコフェロール,ミリスチン酸Ｍｇ,水酸化Ａｌ,テトラヒドロテトラメチルシクロテトラシロキサン,酸化スズ,ＤＰＧ,テトラデセン,含水シリカ,マイクロクリスタリンワックス,ステアリン酸,アルミナ,イソブタン,イソペンタン,クロルフェネシン,マイカ,合成金雲母,酸化チタン,硫酸Ｂａ,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","953, 952, 499"
