id,company_name,product_name,composition,highest_similarity_ids
353,SHISEIDO,コントロールベース UV N,"水,シクロメチコン,酸化亜鉛,ジメチコン,エタノール,ポリメチルシルセスキオキサン,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－１０ジメチコン,ジステアルジモニウムヘクトライト,水添ポリデセン,トリイソステアリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,キシリトール,ジエチルアミノヒドロキシベンゾイル安息香酸ヘキシル,トレハロース,ポリメタクリル酸メチル,水溶性コラーゲン,トリエトキシカプリリルシラン,イソステアリン酸,ＥＤＴＡ－３Ｎａ,アルミナ,タルク,ＢＨＴ,ハイドロゲンジメチコン,トコフェロール,（ジメチコン／メチコン）コポリマー,シリカ,ジステアリルジモニウムクロリド,フェノキシエタノール,酸化チタン,マイカ,酸化鉄,硫酸Ｂａ,合成金雲母商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1113, 1111, 87"
887,SHISEIDO,エッセンスベースBB 1,"水,シクロペンタシロキサン,酸化チタン,ジメチコン,エタノール,メトキシケイヒ酸エチルヘキシル,グリセリン,パルミチン酸エチルヘキシル,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,ＰＥＧ－１０ジメチコン,水酸化Ａｌ,セスキイソステアリン酸ソルビタン,ジステアルジモニウムヘクトライト,水添ポリイソブテン,（ジメチコン／ビニルジメチコン）クロスポリマー,ヒアルロン酸Ｎａ,ローヤルゼリーエキス,ステアリン酸,ＥＤＴＡ－３Ｎａ,アルミナ,トリエトキシカプリリルシラン,テトラヒドロテトラメチルシクロテトラシロキサン,トコフェロール,テトラデセン,ＢＨＴ,ピロ亜硫酸Ｎａ,ハイドロゲンジメチコン,フェノキシエタノール,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","807, 806, 1111"
888,SHISEIDO,エッセンスベースBB 2,"水,シクロペンタシロキサン,酸化チタン,ジメチコン,エタノール,メトキシケイヒ酸エチルヘキシル,グリセリン,パルミチン酸エチルヘキシル,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,ＰＥＧ－１０ジメチコン,水酸化Ａｌ,セスキイソステアリン酸ソルビタン,ジステアルジモニウムヘクトライト,水添ポリイソブテン,（ジメチコン／ビニルジメチコン）クロスポリマー,ヒアルロン酸Ｎａ,ローヤルゼリーエキス,ステアリン酸,ＥＤＴＡ－３Ｎａ,アルミナ,トリエトキシカプリリルシラン,テトラヒドロテトラメチルシクロテトラシロキサン,トコフェロール,テトラデセン,ＢＨＴ,ピロ亜硫酸Ｎａ,ハイドロゲンジメチコン,フェノキシエタノール,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","807, 806, 1111"
891,SHISEIDO,プロフィニッシュ BB 1,"水,ジメチコン,酸化チタン,ジフェニルシロキシフェニルトリメチコン,メトキシケイヒ酸エチルヘキシル,エタノール,ＢＧ,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,グリセリン,トリエチルヘキサノイン,ミリスチン酸イソプロピル,シリカ,タルク,ジステアルジモニウムヘクトライト,水酸化Ａｌ,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,トレハロース,ビスエチルヘキシルオキシフェノールメトキシフェニルトリアジン,トリメチルシロキシケイ酸,塩化Ｎａ,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,アセチルヒアルロン酸Ｎａ,ヒアルロン酸Ｎａ,ステアリン酸,セスキイソステアリン酸ソルビタン,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,トリエトキシカプリリルシラン,トコフェロール,ポリエステル－１,ジメチルシリル化シリカ,ピロ亜硫酸Ｎａ,ハイドロゲンジメチコン,フェノキシエタノール,酸化鉄,硫酸Ｂａ,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","807, 806, 888"
892,SHISEIDO,プロフィニッシュ BB 2,"水,ジメチコン,酸化チタン,ジフェニルシロキシフェニルトリメチコン,メトキシケイヒ酸エチルヘキシル,エタノール,ＢＧ,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,グリセリン,トリエチルヘキサノイン,ミリスチン酸イソプロピル,シリカ,タルク,ジステアルジモニウムヘクトライト,水酸化Ａｌ,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,トレハロース,ビスエチルヘキシルオキシフェノールメトキシフェニルトリアジン,トリメチルシロキシケイ酸,塩化Ｎａ,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,アセチルヒアルロン酸Ｎａ,ヒアルロン酸Ｎａ,ステアリン酸,セスキイソステアリン酸ソルビタン,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,トリエトキシカプリリルシラン,トコフェロール,ポリエステル－１,ジメチルシリル化シリカ,ピロ亜硫酸Ｎａ,ハイドロゲンジメチコン,フェノキシエタノール,酸化鉄,硫酸Ｂａ,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","807, 806, 888"
946,SHISEIDO,エアフィールメーカー ラベンダーカラー,"水,シクロペンタシロキサン,酸化チタン,シクロヘキサシロキサン,エタノール,メタクリル酸メチルクロスポリマー,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－１０ジメチコン,グリセリン,ＤＰＧ,エチルヘキサン酸セチル,ジステアルジモニウムヘクトライト,ジメチコンクロスポリマー,ジフェニルシロキシフェニルトリメチコン,セスキイソステアリン酸ソルビタン,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラベンダー油,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,ローズマリー葉油,（メタクリル酸メチル／アクリロニトリル）コポリマー,水酸化Ａｌ,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,イソステアリン酸,ステアリン酸,ＥＤＴＡ－３Ｎａ,トリエトキシカプリリルシラン,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ＢＨＴ,酸化亜鉛,トコフェロール,イソブタン,イソペンタン,シリカ,フェノキシエタノール,メチルパラベン,硫酸Ｂａ,グンジョウ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1111, 892, 891"
947,SHISEIDO,エアフィールメーカー ミントカラー,"水,シクロペンタシロキサン,酸化チタン,シクロヘキサシロキサン,エタノール,メタクリル酸メチルクロスポリマー,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－１０ジメチコン,グリセリン,ＤＰＧ,エチルヘキサン酸セチル,ジステアルジモニウムヘクトライト,ジメチコンクロスポリマー,ジフェニルシロキシフェニルトリメチコン,セスキイソステアリン酸ソルビタン,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラベンダー油,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,ローズマリー葉油,（メタクリル酸メチル／アクリロニトリル）コポリマー,水酸化Ａｌ,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,イソステアリン酸,ステアリン酸,ＥＤＴＡ－３Ｎａ,トリエトキシカプリリルシラン,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ＢＨＴ,酸化亜鉛,トコフェロール,イソブタン,イソペンタン,シリカ,フェノキシエタノール,メチルパラベン,硫酸Ｂａ,グンジョウ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1111, 892, 891"
948,SHISEIDO,エアフィールメーカー レモンカラー,"水,シクロペンタシロキサン,酸化チタン,シクロヘキサシロキサン,エタノール,メタクリル酸メチルクロスポリマー,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－１０ジメチコン,グリセリン,ＤＰＧ,エチルヘキサン酸セチル,ジステアルジモニウムヘクトライト,ジメチコンクロスポリマー,ジフェニルシロキシフェニルトリメチコン,セスキイソステアリン酸ソルビタン,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラベンダー油,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,ローズマリー葉油,（メタクリル酸メチル／アクリロニトリル）コポリマー,水酸化Ａｌ,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,イソステアリン酸,ステアリン酸,ＥＤＴＡ－３Ｎａ,トリエトキシカプリリルシラン,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ＢＨＴ,酸化亜鉛,トコフェロール,イソブタン,イソペンタン,シリカ,フェノキシエタノール,メチルパラベン,硫酸Ｂａ,グンジョウ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1111, 892, 891"
995,SHISEIDO,すっぴんメイカー トーンアップUV ピュアカラー,"水,メトキシケイヒ酸エチルヘキシル,エタノール,ジメチコン,ＢＧ,ＤＰＧ,オクトクリレン,シリカ,水添ポリデセン,ビスエチルヘキシルオキシフェノールメトキシフェニルトリアジン,ＰＰＧ－８セテス－２０,グリセリン,ジエチルアミノヒドロキシベンゾイル安息香酸ヘキシル,トレハロース,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,アミノプロピルジメチコン,ポリウレタン－１０,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,マカデミアナッツ脂肪酸フィトステリル,（ジメチルアクリルアミド／アクリロイルジメチルタウリンＮａ）クロスポリマー,ＰＥＧ－１２ジメチコン,サクシノグリカン,水酸化Ａｌ,ＰＥＧ－１１メチルエーテルジメチコン,トリエトキシカプリリルシラン,クエン酸Ｎａ,メタリン酸Ｎａ,ステアロキシヒドロキシプロピルメチルセルロース,ＥＤＴＡ－３Ｎａ,ＢＨＴ,ピロ亜硫酸Ｎａ,トコフェロール,フェノキシエタノール,酸化チタン,硫酸Ｂａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","172, 892, 891"
1111,SHISEIDO,ミネラルベース BB,"水,シクロペンタシロキサン,酸化チタン,ＤＰＧ,メトキシケイヒ酸エチルヘキシル,メタクリル酸メチルクロスポリマー,ＰＥＧ－１０ジメチコン,テトラエチルヘキサン酸ペンタエリスリチル,水添ポリデセン,グリセリン,ＢＧ,ジステアルジモニウムヘクトライト,ジフェニルシロキシフェニルトリメチコン,エタノール,タルク,イソステアリン酸,水酸化Ａｌ,ステアリン酸,ＥＤＴＡ－３Ｎａ,アルミナ,シリカ,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,トリエトキシカプリリルシラン,ジメチコン,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,トコフェロール,フェノキシエタノール,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1113, 888, 887"
