id,company_name,product_name,composition,highest_similarity_ids
309,SHISEIDO,バランシング ウォーター,"水,ＤＰＧ,エタノール,グリセリン,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ＰＥＧ－６０水添ヒマシ油,エリスリトール,グリシルグリシン,ポリクオタニウム－５１,リシンＨＣｌ,オウゴン根エキス,ＰＣＡ－Ｎａ,ローズマリーエキス,モモ種子エキス,ユキノシタエキス,チャエキス,水溶性コラーゲン,ＰＥＧ－６,ＢＧ,水添ポリデセン,イソステアリルアルコール,イソステアリン酸,ジイソステアリン酸ポリグリセリル－２,クエン酸Ｎａ,ＥＤＴＡ－２Ｎａ,ココイルグルタミン酸Ｋ,クエン酸,ピロ亜硫酸Ｎａ,トコフェロール,メチルパラベン,フェノキシエタノール,香料商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","105, 1037, 91"
861,SHISEIDO,ローションEX,"グリチルリチン酸ジカリウム*,酢酸ＤＬ－α－トコフェロール*,ジンギベルプルプレウム根エキス,ウコンエキス,Ｌ－セリン,チオタウリン,エリスリトール,精製水,１，３－ブチレングリコール,エタノール,濃グリセリン,ポリエチレングリコール１５００,ポリオキシエチレンポリオキシプロピレンデシルテトラデシルエーテル,ポリオキシエチレン（１４）ポリオキシプロピレン（７）ジメチルエーテル,クエン酸ナトリウム,メタリン酸ナトリウム,キサンタンガム,クエン酸,リン酸Ｌ－アスコルビルマグネシウム,フェノキシエタノール,香料　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","88, 76, 75"
863,SHISEIDO,ブライトニングケア ローション M,"トラネキサム酸*,精製水,ジプロピレングリコール,濃グリセリン,エタノール,１，３－ブチレングリコール,ポリオキシエチレン（１４）ポリオキシプロピレン（７）ジメチルエーテル,ポリオキシエチレン（１７）ポリオキシプロピレン（４）ジメチルエーテル,ポリオキシエチレンポリオキシプロピレンデシルテトラデシルエーテル,カルボキシビニルポリマー,エデト酸二ナトリウム,キサンタンガム,ピロ亜硫酸ナトリウム,Ｄ－グルタミン酸,ＤＬ－アラニン,リン酸Ｌ－アスコルビルマグネシウム,アセチル化ヒアルロン酸ナトリウム,ヒアルロン酸ナトリウム（２）,加水分解コンキオリン液,ＤＬ－メチオニン,水溶性コラーゲン（Ｆ）,フェノキシエタノール,パラオキシ安息香酸エステル,香料　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","802, 801, 759"
864,SHISEIDO,ブライトニングケア ローション RM,"トラネキサム酸*,精製水,ジプロピレングリコール,濃グリセリン,エタノール,１，３－ブチレングリコール,ポリオキシエチレン（１４）ポリオキシプロピレン（７）ジメチルエーテル,ポリオキシエチレン（１７）ポリオキシプロピレン（４）ジメチルエーテル,ポリオキシエチレンポリオキシプロピレンデシルテトラデシルエーテル,カルボキシビニルポリマー,エデト酸二ナトリウム,キサンタンガム,ピロ亜硫酸ナトリウム,Ｄ－グルタミン酸,ＤＬ－アラニン,リン酸Ｌ－アスコルビルマグネシウム,アセチル化ヒアルロン酸ナトリウム,ヒアルロン酸ナトリウム（２）,加水分解コンキオリン液,ＤＬ－メチオニン,水溶性コラーゲン（Ｆ）,フェノキシエタノール,パラオキシ安息香酸エステル,香料　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","802, 801, 759"
866,SHISEIDO,リフティングウオーター EX,"水,ＤＰＧ,エタノール,グリセリン,ベタイン,アルギニンＨＣｌ,チオタウリン,（アスコルビル／トコフェリル）リン酸Ｋ,セイヨウハッカ葉エキス,イリス根エキス,水溶性コラーゲン,ＰＰＧ－１３デシルテトラデセス－２４,カルボマー,ＥＤＴＡ－３Ｎａ,水酸化Ｋ,ＢＧ,ジモルホリノピリダジノン,トコフェロール,メチルパラベン,フェノキシエタノール,香料商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","105, 91, 90"
867,SHISEIDO,アクアローション さっぱり つめかえ用,"水,ＢＧ,ＤＰＧ,グリセリン,キシリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,エリスリトール,トレハロース,グルタミン酸,ラベンダー油,オクラ果実エキス,ヒアルロン酸Ｎａ,アスペルギルス／ツバキ種子発酵エキス液,メチオニン,加水分解コメエキス,ＰＰＧ－１３デシルテトラデセス－２４,クエン酸Ｎａ,メタリン酸Ｎａ,クエン酸,ピロ亜硫酸Ｎａ,アラニン,トコフェロール,ソメイヨシノ葉エキス,フェノキシエタノール商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","105, 1037, 309"
868,SHISEIDO,アクアローション しっとり つめかえ用,"水,ＢＧ,ＤＰＧ,グリセリン,キシリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,エリスリトール,トレハロース,グルタミン酸,ラベンダー油,オクラ果実エキス,ヒアルロン酸Ｎａ,アスペルギルス／ツバキ種子発酵エキス液,メチオニン,加水分解コメエキス,ＰＰＧ－１３デシルテトラデセス－２４,クエン酸Ｎａ,メタリン酸Ｎａ,クエン酸,ピロ亜硫酸Ｎａ,アラニン,トコフェロール,ソメイヨシノ葉エキス,フェノキシエタノール商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","105, 1037, 309"
945,SHISEIDO,ホワイトニング ソフナー,"Ｌ-アスコルビン酸２-グルコシド*,グリチルリチン酸ジカリウム*,ルムプヤンエキス,濃グリセリン,精製水,安息香酸デナトニウム変性アルコール,ジプロピレングリコール,ポリエチレングリコール１０００,水酸化カリウム,ポリオキシエチレンポリオキシプロピレンデシルテトラデシルエーテル,クエン酸ナトリウム,エリスリトール,トリメチルグリシン,エチレンジアミンヒドロキシエチル三酢酸三ナトリウム,エデト酸三ナトリウム,エタノール,１，３-ブチレングリコール,クエン酸,ジブチルヒドロキシトルエン,イソステアリン酸,ラウリルジメチルアミノ酢酸ベタイン,ヒポタウリン,ジオウエキス,カンゾウフラボノイド,パラオキシ安息香酸エステル,香料*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","861, 74, 76"
1037,SHISEIDO,ローション,"水,ＢＧ,グリセリン,ＰＥＧ－３０,エリスリトール,ＰＥＧ－６０水添ヒマシ油,ＰＥＧ－９０Ｍ,クエン酸Ｎａ,ココイルアルギニンエチルＰＣＡ,クエン酸,トコフェロール,フェノキシエタノール商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1040, 1039, 868"
1039,SHISEIDO,アクアローション さっぱり,"水,ＢＧ,ＤＰＧ,グリセリン,キシリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,エリスリトール,トレハロース,グルタミン酸,ラベンダー油,オクラ果実エキス,ヒアルロン酸Ｎａ,アスペルギルス／ツバキ種子発酵エキス液,メチオニン,加水分解コメエキス,ＰＰＧ－１３デシルテトラデセス－２４,クエン酸Ｎａ,メタリン酸Ｎａ,クエン酸,ピロ亜硫酸Ｎａ,アラニン,トコフェロール,ソメイヨシノ葉エキス,フェノキシエタノール商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","105, 1037, 309"
