id,company_name,product_name,composition,highest_similarity_ids
420,SHISEIDO,シャドーカスタマイズ BR332,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
421,SHISEIDO,シャドーカスタマイズ PK421,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
422,SHISEIDO,シャドーカスタマイズ GR162,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
423,SHISEIDO,シャドーカスタマイズ YE232,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
424,SHISEIDO,シャドーカスタマイズ WT963,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
425,SHISEIDO,シャドーカスタマイズ BE121,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
426,SHISEIDO,シャドーカスタマイズ BE286,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
427,SHISEIDO,シャドーカスタマイズ BK922,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
428,SHISEIDO,シャドーカスタマイズ GD822,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
429,SHISEIDO,シャドーカスタマイズ OR481,"タルク,リンゴ酸ジイソステアリル,メタクリル酸メチルクロスポリマー,トリエチルヘキサノイン,ワセリン,ミリスチン酸亜鉛,酸化亜鉛,セスキイソステアリン酸ソルビタン,エチルヘキシルグリセリン,酸化スズ,テトラヒドロテトラメチルシクロテトラシロキサン,水酸化Ａｌ,テトラデセン,トコフェロール,ヒドロキシプロピルセルロース,クロルフェネシン,マイカ,酸化チタン,合成金雲母,酸化鉄,グンジョウ,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","14, 13, 12"
