id,company_name,product_name,composition,highest_similarity_ids
990,SHISEIDO,プロフィニッシュリキッド オークル00,"水,ジメチコン,酸化チタン,エタノール,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,グリセリン,トリフルオロアルキルジメチルトリメチルシロキシケイ酸,リンゴ酸ジイソステアリル,ビスブチルジメチコンポリグリセリル－３,セスキイソステアリン酸ソルビタン,ジフェニルシロキシフェニルトリメチコン,塩化Ｎａ,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,メタクリル酸メチルクロスポリマー,ＤＰＧ,水酸化Ａｌ,ＥＤＴＡ－３Ｎａ,ステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,シリカ,トコフェロール,ミリスチン酸Ｍｇ,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ピロ亜硫酸Ｎａ,タルク,トリエトキシカプリリルシラン,ハイドロゲンジメチコン,フェノキシエタノール,硫酸Ｂａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","700, 699, 698"
991,SHISEIDO,プロフィニッシュリキッド オークル10,"水,ジメチコン,酸化チタン,エタノール,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,グリセリン,トリフルオロアルキルジメチルトリメチルシロキシケイ酸,リンゴ酸ジイソステアリル,ビスブチルジメチコンポリグリセリル－３,セスキイソステアリン酸ソルビタン,ジフェニルシロキシフェニルトリメチコン,塩化Ｎａ,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,メタクリル酸メチルクロスポリマー,ＤＰＧ,水酸化Ａｌ,ＥＤＴＡ－３Ｎａ,ステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,シリカ,トコフェロール,ミリスチン酸Ｍｇ,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ピロ亜硫酸Ｎａ,タルク,トリエトキシカプリリルシラン,ハイドロゲンジメチコン,フェノキシエタノール,硫酸Ｂａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","700, 699, 698"
992,SHISEIDO,プロフィニッシュリキッド オークル20,"水,ジメチコン,酸化チタン,エタノール,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,グリセリン,トリフルオロアルキルジメチルトリメチルシロキシケイ酸,リンゴ酸ジイソステアリル,ビスブチルジメチコンポリグリセリル－３,セスキイソステアリン酸ソルビタン,ジフェニルシロキシフェニルトリメチコン,塩化Ｎａ,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,メタクリル酸メチルクロスポリマー,ＤＰＧ,水酸化Ａｌ,ＥＤＴＡ－３Ｎａ,ステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,シリカ,トコフェロール,ミリスチン酸Ｍｇ,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ピロ亜硫酸Ｎａ,タルク,トリエトキシカプリリルシラン,ハイドロゲンジメチコン,フェノキシエタノール,硫酸Ｂａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","700, 699, 698"
993,SHISEIDO,プロフィニッシュリキッド オークル30,"水,ジメチコン,酸化チタン,エタノール,メトキシケイヒ酸エチルヘキシル,ＰＥＧ－９ポリジメチルシロキシエチルジメチコン,グリセリン,トリフルオロアルキルジメチルトリメチルシロキシケイ酸,リンゴ酸ジイソステアリル,ビスブチルジメチコンポリグリセリル－３,セスキイソステアリン酸ソルビタン,ジフェニルシロキシフェニルトリメチコン,塩化Ｎａ,エリスリトール,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,メタクリル酸メチルクロスポリマー,ＤＰＧ,水酸化Ａｌ,ＥＤＴＡ－３Ｎａ,ステアリン酸,テトラヒドロテトラメチルシクロテトラシロキサン,ＢＨＴ,テトラデセン,シリカ,トコフェロール,ミリスチン酸Ｍｇ,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,ピロ亜硫酸Ｎａ,タルク,トリエトキシカプリリルシラン,ハイドロゲンジメチコン,フェノキシエタノール,硫酸Ｂａ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","700, 699, 698"
1020,SHISEIDO,ティンティド モイスチャライザー ブラーリング 0N1,"水,ジシロキサン,メトキシケイヒ酸エチルヘキシル,ジポリヒドロキシステアリン酸ＰＥＧ－３０,サリチル酸オクチル,安息香酸アルキル（Ｃ１２－１５）,パルミチン酸エチルヘキシル,グリセリン,イソヘキサデカン,シクロペンタシロキサン,フェノキシエタノール,窒化ホウ素,ホホバエステル,ステアリン酸Ｍｇ,デヒドロ酢酸Ｎａ,スクワラン,ＥＤＴＡ－２Ｎａ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,メチコン,メチルパラベン,プロピルパラベン,ＰＣＡラウリル,酢酸トコフェロール,ＰＰＧ－１５ステアリル,グリチルリチン酸２Ｋ,トリイソステアリン酸イソプロピルチタン,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","744, 743, 742"
1021,SHISEIDO,ティンティド モイスチャライザー ブラーリング 1W1,"水,ジシロキサン,メトキシケイヒ酸エチルヘキシル,ジポリヒドロキシステアリン酸ＰＥＧ－３０,サリチル酸オクチル,安息香酸アルキル（Ｃ１２－１５）,パルミチン酸エチルヘキシル,グリセリン,イソヘキサデカン,シクロペンタシロキサン,フェノキシエタノール,窒化ホウ素,ホホバエステル,ステアリン酸Ｍｇ,デヒドロ酢酸Ｎａ,スクワラン,ＥＤＴＡ－２Ｎａ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,メチコン,メチルパラベン,プロピルパラベン,ＰＣＡラウリル,酢酸トコフェロール,ＰＰＧ－１５ステアリル,グリチルリチン酸２Ｋ,トリイソステアリン酸イソプロピルチタン,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","744, 743, 742"
1022,SHISEIDO,ティンティド モイスチャライザー ブラーリング 2N1,"水,ジシロキサン,メトキシケイヒ酸エチルヘキシル,ジポリヒドロキシステアリン酸ＰＥＧ－３０,サリチル酸オクチル,安息香酸アルキル（Ｃ１２－１５）,パルミチン酸エチルヘキシル,グリセリン,イソヘキサデカン,シクロペンタシロキサン,フェノキシエタノール,窒化ホウ素,ホホバエステル,ステアリン酸Ｍｇ,デヒドロ酢酸Ｎａ,スクワラン,ＥＤＴＡ－２Ｎａ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,メチコン,メチルパラベン,プロピルパラベン,ＰＣＡラウリル,酢酸トコフェロール,ＰＰＧ－１５ステアリル,グリチルリチン酸２Ｋ,トリイソステアリン酸イソプロピルチタン,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","744, 743, 742"
1073,SHISEIDO,ティンティド モイスチャライザー N トラベルサイズ 0N1,"水,メトキシケイヒ酸エチルヘキシル,ＢＧ,グリセリン,ｔ－ブチルメトキシジベンゾイルメタン,ジメチコン,オクトクリレン,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,水添ポリデセン,ステアリン酸ＰＥＧ－５グリセリル,イソドデカン,シリカ,オキシベンゾン－３,フェノキシエタノール,フェニルトリメチコン,トレハロース,イソステアリン酸,ステアリン酸グリセリル（ＳＥ）,異性化糖,ポリシリコーン－１１,ベヘニルアルコール,ベヘン酸,シア脂,バチルアルコール,ステアリン酸,ヒドロキシプロピルメチルセルロースステアロキシエーテル,ＰＥＧ－３０フィトステロール,ＥＤＴＡ－２Ｎａ,マカデミアナッツ油,カルボマー,メタリン酸Ｎａ,ポリアクリレートクロスポリマー－６,ククイノキ種子エキス,水酸化Ｋ,ウルシ果皮ロウ,トコフェロール,ペンチレングリコール,ＢＨＴ,クエン酸,クエン酸Ｎａ,タマリンドガム,ｔ－ブタノール,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1201, 1200, 1199"
1074,SHISEIDO,ティンティド モイスチャライザー N トラベルサイズ 2N1,"水,メトキシケイヒ酸エチルヘキシル,ＢＧ,グリセリン,ｔ－ブチルメトキシジベンゾイルメタン,ジメチコン,オクトクリレン,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,水添ポリデセン,ステアリン酸ＰＥＧ－５グリセリル,イソドデカン,シリカ,オキシベンゾン－３,フェノキシエタノール,フェニルトリメチコン,トレハロース,イソステアリン酸,ステアリン酸グリセリル（ＳＥ）,異性化糖,ポリシリコーン－１１,ベヘニルアルコール,ベヘン酸,シア脂,バチルアルコール,ステアリン酸,ヒドロキシプロピルメチルセルロースステアロキシエーテル,ＰＥＧ－３０フィトステロール,ＥＤＴＡ－２Ｎａ,マカデミアナッツ油,カルボマー,メタリン酸Ｎａ,ポリアクリレートクロスポリマー－６,ククイノキ種子エキス,水酸化Ｋ,ウルシ果皮ロウ,トコフェロール,ペンチレングリコール,ＢＨＴ,クエン酸,クエン酸Ｎａ,タマリンドガム,ｔ－ブタノール,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1201, 1200, 1199"
1075,SHISEIDO,ティンティド モイスチャライザー N トラベルサイズ 1W1,"水,メトキシケイヒ酸エチルヘキシル,ＢＧ,グリセリン,ｔ－ブチルメトキシジベンゾイルメタン,ジメチコン,オクトクリレン,ＰＥＧ／ＰＰＧ－１４／７ジメチルエーテル,水添ポリデセン,ステアリン酸ＰＥＧ－５グリセリル,イソドデカン,シリカ,オキシベンゾン－３,フェノキシエタノール,フェニルトリメチコン,トレハロース,イソステアリン酸,ステアリン酸グリセリル（ＳＥ）,異性化糖,ポリシリコーン－１１,ベヘニルアルコール,ベヘン酸,シア脂,バチルアルコール,ステアリン酸,ヒドロキシプロピルメチルセルロースステアロキシエーテル,ＰＥＧ－３０フィトステロール,ＥＤＴＡ－２Ｎａ,マカデミアナッツ油,カルボマー,メタリン酸Ｎａ,ポリアクリレートクロスポリマー－６,ククイノキ種子エキス,水酸化Ｋ,ウルシ果皮ロウ,トコフェロール,ペンチレングリコール,ＢＨＴ,クエン酸,クエン酸Ｎａ,タマリンドガム,ｔ－ブタノール,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1201, 1200, 1199"
