id,company_name,product_name,composition,highest_similarity_ids
533,SHISEIDO,美リフトマスカラ ブラック,"水添ポリイソブテン,イソドデカン,パルミチン酸デキストリン,シクロメチコン,ジステアルジモニウムヘクトライト,マイクロクリスタリンワックス,酢酸ステアリン酸スクロース,ＰＥＧ－１０ジメチコン,トリメチルシロキシケイ酸,ナイロン－６,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＢＧ,水,ポリエチレン,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,アルギニン,マカデミアナッツ油,ゴマ油,ダイズ油,コメ胚芽油,テトライソステアリン酸スクロース,トリエトキシカプリリルシラン,トコフェロール,ＢＨＴ,シリカ,酸化鉄,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","787, 367, 366"
568,SHISEIDO,ドラマティックエッセンスマスカラ L RS551 アメリカンチェリー,"水添ポリイソブテン,イソドデカン,トリメチルシロキシケイ酸,ジステアルジモニウムヘクトライト,パルミチン酸デキストリン,ポリメチルシルセスキオキサン,ステアリン酸スクロース,ＰＥＧ－１０ジメチコン,レーヨン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＢＧ,水,テトライソステアリン酸スクロース,ＰＥＧ／ＰＰＧ－３５／４０ジメチルエーテル,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,アルギニン,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,ツバキ種子油,合成遺伝子組換ポリペプチド－１,アセチルヒアルロン酸Ｎａ,エチルヘキシルグリセリン,酸化亜鉛,トコフェロール,ＢＨＴ,トリエトキシカプリリルシラン,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,水酸化Ａｌ,デヒドロ酢酸Ｎａ,酸化鉄,グンジョウ,酸化チタン,マイカ,カーボンブラック,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","182, 181, 11"
569,SHISEIDO,ドラマティックエッセンスマスカラ L OR552 アプリコットオレンジ,"水添ポリイソブテン,イソドデカン,トリメチルシロキシケイ酸,ジステアルジモニウムヘクトライト,パルミチン酸デキストリン,ポリメチルシルセスキオキサン,ステアリン酸スクロース,ＰＥＧ－１０ジメチコン,レーヨン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＢＧ,水,テトライソステアリン酸スクロース,ＰＥＧ／ＰＰＧ－３５／４０ジメチルエーテル,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,アルギニン,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,ツバキ種子油,合成遺伝子組換ポリペプチド－１,アセチルヒアルロン酸Ｎａ,エチルヘキシルグリセリン,酸化亜鉛,トコフェロール,ＢＨＴ,トリエトキシカプリリルシラン,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,水酸化Ａｌ,デヒドロ酢酸Ｎａ,酸化鉄,グンジョウ,酸化チタン,マイカ,カーボンブラック,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","182, 181, 11"
570,SHISEIDO,ドラマティックエッセンスマスカラ L GR553 グリーンアップル,"水添ポリイソブテン,イソドデカン,トリメチルシロキシケイ酸,ジステアルジモニウムヘクトライト,パルミチン酸デキストリン,ポリメチルシルセスキオキサン,ステアリン酸スクロース,ＰＥＧ－１０ジメチコン,レーヨン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＢＧ,水,テトライソステアリン酸スクロース,ＰＥＧ／ＰＰＧ－３５／４０ジメチルエーテル,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,アルギニン,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,ツバキ種子油,合成遺伝子組換ポリペプチド－１,アセチルヒアルロン酸Ｎａ,エチルヘキシルグリセリン,酸化亜鉛,トコフェロール,ＢＨＴ,トリエトキシカプリリルシラン,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,水酸化Ａｌ,デヒドロ酢酸Ｎａ,酸化鉄,グンジョウ,酸化チタン,マイカ,カーボンブラック,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","182, 181, 11"
364,SHISEIDO,ラッシュエキスパンダー ロングロングロング EX BK999,"水添ポリイソブテン,イソドデカン,トリ酢酸テトラステアリン酸スクロース,パルミチン酸デキストリン,ジステアルジモニウムヘクトライト,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＰＥＧ－１０ジメチコン,ナイロン－６,ＢＧ,水,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,酢酸トコフェロール,マカデミアナッツ油,酸化亜鉛,トリエトキシカプリリルシラン,トコフェロール,ＢＨＴ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,シリカ,テトライソステアリン酸スクロース,パラフィン,マイクロクリスタリンワックス,酸化鉄,グンジョウ,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","11, 1214, 1213"
365,SHISEIDO,ラッシュエキスパンダー ロングロングロング EX BR606,"水添ポリイソブテン,イソドデカン,トリ酢酸テトラステアリン酸スクロース,パルミチン酸デキストリン,ジステアルジモニウムヘクトライト,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＰＥＧ－１０ジメチコン,ナイロン－６,ＢＧ,水,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,酢酸トコフェロール,マカデミアナッツ油,酸化亜鉛,トリエトキシカプリリルシラン,トコフェロール,ＢＨＴ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,シリカ,テトライソステアリン酸スクロース,パラフィン,マイクロクリスタリンワックス,酸化鉄,グンジョウ,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","11, 1214, 1213"
366,SHISEIDO,ラッシュエキスパンダー ロングロングロング EX RD505,"水添ポリイソブテン,イソドデカン,トリ酢酸テトラステアリン酸スクロース,パルミチン酸デキストリン,ジステアルジモニウムヘクトライト,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＰＥＧ－１０ジメチコン,ナイロン－６,ＢＧ,水,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,酢酸トコフェロール,マカデミアナッツ油,酸化亜鉛,トリエトキシカプリリルシラン,トコフェロール,ＢＨＴ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,シリカ,テトライソステアリン酸スクロース,パラフィン,マイクロクリスタリンワックス,酸化鉄,グンジョウ,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","11, 1214, 1213"
367,SHISEIDO,ラッシュエキスパンダー ロングロングロング EX OR505,"水添ポリイソブテン,イソドデカン,トリ酢酸テトラステアリン酸スクロース,パルミチン酸デキストリン,ジステアルジモニウムヘクトライト,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＰＥＧ－１０ジメチコン,ナイロン－６,ＢＧ,水,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,酢酸トコフェロール,マカデミアナッツ油,酸化亜鉛,トリエトキシカプリリルシラン,トコフェロール,ＢＨＴ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,シリカ,テトライソステアリン酸スクロース,パラフィン,マイクロクリスタリンワックス,酸化鉄,グンジョウ,カーボンブラック商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","11, 1214, 1213"
1177,SHISEIDO,キャビア ボリューム パノラミック マスカラ N 01,"水,ミツロウ,カルナウバロウ,コメヌカロウ,ステアリン酸,パルミチン酸,ＢＧ,トリ脂肪酸（Ｃ１８－３６）グリセリル,水添ポリイソブテン,ＡＭＰ,アラビアゴム,ＰＶＰ,海水,フェノキシエタノール,カプリリルグリコール,ヒドロキシエチルセルロース,デヒドロ酢酸Ｎａ,ジメチコン,アクリレーツコポリマー,ミリスチン酸,ラウリン酸,オレイン酸,塩化Ｎａ,クエン酸,塩化Ｍｇ,安息香酸Ｎａ,ＰＧ,ソルビン酸Ｋ,リン酸２Ｎａ,リン酸Ｎａ,ポリソルベート６０,海塩,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","757, 756, 755"
1213,SHISEIDO,ラッシュエキスパンダー ロングロングロング EX VI751,"水添ポリイソブテン,イソドデカン,トリ酢酸テトラステアリン酸スクロース,パルミチン酸デキストリン,ジステアルジモニウムヘクトライト,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,ＰＥＧ－１０ジメチコン,ホウケイ酸（Ｃａ／Ａｌ）,ナイロン－６,ＢＧ,水,トリイソステアリン酸ＰＥＧ－２０水添ヒマシ油,酢酸トコフェロール,マカデミアナッツ油,酸化亜鉛,トコフェロール,ＢＨＴ,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,シリカ,トリエトキシカプリリルシラン,テトライソステアリン酸スクロース,パラフィン,酸化スズ,水酸化Ａｌ,マイクロクリスタリンワックス,グンジョウ,合成金雲母,酸化鉄,酸化チタン,マイカ,カーボンブラック,赤２２６商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","11, 367, 366"
