id,company_name,product_name,composition,highest_similarity_ids
453,SHISEIDO,バランシング ミルク,"水,ＤＰＧ,ミネラルオイル,ＢＧ,グリセリン,ジメチコン,イソステアリン酸ＰＥＧ－６０グリセリル,エチルヘキサン酸セチル,ＰＥＧ／ＰＰＧ－１７／４ジメチルエーテル,グリシルグリシン,ラウロイルグルタミン酸ジ（フィトステリル／オクチルドデシル）,リシンＨＣｌ,オウゴン根エキス,ＰＣＡ－Ｎａ,ローズマリーエキス,モモ種子エキス,ユキノシタエキス,チャエキス,水溶性コラーゲン,ステアリン酸ＰＥＧ－５グリセリル,水添パーム油,パーム核油,パーム油,ベヘニルアルコール,カルボマー,バチルアルコール,水酸化Ｋ,ピロ亜硫酸Ｎａ,ＥＤＴＡ－２Ｎａ,クエン酸Ｎａ,エタノール,クエン酸,トコフェロール,フェノキシエタノール,香料商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","114, 464, 1161"
464,SHISEIDO,パーリーミルク EX,"水,ＤＰＧ,グリセリン,エタノール,トリエチルヘキサノイン,キシリトール,水添ポリデセン,ジメチコン,ステアリン酸ＰＥＧ－５グリセリル,酢酸トコフェロール,ワレモコウエキス,ヒアルロン酸Ｎａ,トウモロコシグリコーゲン,水溶性コラーゲン,加水分解エラスチン,イリス根エキス,シャクヤク根エキス,ヒキオコシ葉／茎エキス,ハス胚芽エキス,加水分解コンキオリン,ステアリン酸グリセリル（ＳＥ）,ベヘニルアルコール,シリカ,ＴＥＡ,水添パーム油,ステアリン酸,イソステアリン酸,ベヘン酸,パーム核油,カルボマー,パーム油,ＢＧ,メタリン酸Ｎａ,ＥＤＴＡ－２Ｎａ,トコフェロール,クエン酸,フェノキシエタノール,エチルパラベン,安息香酸,香料,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","114, 453, 1161"
308,SHISEIDO,薬用 高保湿乳液,"グリチルリチン酸ジカリウム*,ワセリン,シュガースクワラン,Ｎ－ラウロイル－Ｌ－グルタミン酸ジ（フィトステリル・２－オクチルドデシル）,酢酸ＤＬ－α－トコフェロール,水溶性コラーゲン（Ｆ）,ヒアルロン酸ナトリウム（２）,ユキノシタエキス,シカクマメエキス,濃グリセリン,精製水,α－オレフィンオリゴマー,ジプロピレングリコール,エタノール,テトラ２－エチルヘキサン酸ペンタエリトリット,１，３－ブチレングリコール,２－エチルヘキサン酸セチル,モノステアリン酸ポリオキシエチレングリセリル,トリエタノールアミン,メチルポリシロキサン,メチルフェニルポリシロキサン,ステアリン酸,ベヘニルアルコール,イソステアリン酸,自己乳化型モノステアリン酸グリセリル,フェノキシエタノール,ベヘニン酸,カルボキシビニルポリマー,トレハロース,ポリオキシエチレン（１７）ポリオキシプロピレン（４）ジメチルエーテル,エデト酸三ナトリウム,キサンタンガム,ピロ亜硫酸ナトリウム,塩化マグネシウム,塩化カルシウム,Ｌ－オキシプロリン,塩酸リジン,セリシン,香料　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","809, 85, 61"
1161,SHISEIDO,レーデボーテ,"水,ミネラルオイル,ＢＧ,ジメチコン,ステアリン酸ＰＥＧ－５グリセリル,グリセリン,ＰＥＧ－６,ＰＥＧ－３２,ワセリン,ベヘニルアルコール,ベヘン酸,ステアリン酸グリセリル（ＳＥ）,バチルアルコール,イソステアリン酸,ジグリセリン,ステアリン酸,カルボマー,水酸化Ｋ,メトキシケイヒ酸エチルヘキシル,メタリン酸Ｎａ,ＢＨＴ,トコフェロール,メチルパラベン,香料商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","114, 464, 453"
1759,KRACIE,麗白 ハトムギ 保湿乳液 300ミリリットル (x 1),水、グリセリン、ミネラルオイル、スクワラン、BG、ワセリン、ハトムギ種子エキス、セラミドNG、シア脂、モモ葉エキス、ベタイン、ヒアルロン酸Na、ステアレス－6、水酸化Na、カルボマー、EDTA－4Na、メチルパラベン、エチルパラベン,"1161, 1031, 949"
859,SHISEIDO,リフティングエマルジョン EX,"水,グリセリン,ＢＧ,エタノール,メチルグルセス－１０,ジメチコン,シクロペンタシロキサン,ベタイン,スクワラン,キサンタンガム,アルギニンＨＣｌ,チオタウリン,（アスコルビル／トコフェリル）リン酸Ｋ,ワイルドタイムエキス,イリス根エキス,水溶性コラーゲン,カルボマー,（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー,水酸化Ｋ,ＥＤＴＡ－３Ｎａ,メチルパラベン,フェノキシエタノール,香料商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","114, 453, 1161"
949,SHISEIDO,ホワイトニング モイスチャーライザー,"Ｌ-アスコルビン酸２-グルコシド*,グリチルリチン酸ジカリウム*,酢酸ｄｌ-α-トコフェロール*,ルムプヤンエキス,濃グリセリン,精製水,α-オレフィンオリゴマー,ジプロピレングリコール,オクタン酸セチル,安息香酸デナトニウム変性アルコール（９５ｖｏｌ％）,メチルポリシロキサン,トリメチルグリシン,イソステアリン酸ポリオキシエチレングリセリル,ワセリン,ホホバ油,モノステアリン酸ポリオキシエチレングリセリン,水酸化カリウム,ステアリン酸,ベヘニルアルコール,イソステアリン酸,ベヘニン酸,バチルアルコール,カルボキシビニルポリマー,エリスリトール,エタノール,クエン酸ナトリウム,キサンタンガム,１，３-ブチレングリコール,クエン酸,ジブチルヒドロキシトルエン,エデト酸三ナトリウム,ラウリルジメチルアミノ酢酸ベタイン,ヒポタウリン,ジオウエキス,カンゾウフラボノイド,パラオキシ安息香酸エステル,香料*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1031, 809, 308"
1031,SHISEIDO,ホワイトニング プロテクター,"Ｌ-アスコルビン酸２-グルコシド*,グリチルリチン酸ジカリウム*,酢酸ｄｌ-α-トコフェロール*,ルムプヤンエキス,濃グリセリン,精製水,パラメトキシケイ皮酸２-エチルヘキシル,１，３-ブチレングリコール,ジプロピレングリコール,デカメチルシクロペンタシロキサン,メチルフェニルポリシロキサン,安息香酸デナトニウム変性アルコール,４-ｔｅｒｔ-ブチル-４’-メトキシジベンゾイルメタン,コハク酸ジ２-エチルヘキシル,イソステアリン酸ポリオキシエチレングリセリル,モノステアリン酸ポリオキシエチレングリセリン,水酸化カリウム,ベヘニルアルコール,カルボキシビニルポリマー,バチルアルコール,エリスリトール,トリメチルグリシン,エチレンジアミンヒドロキシエチル三酢酸三ナトリウム,エタノール,エデト酸三ナトリウム,キサンタンガム,ジブチルヒドロキシトルエン,イソステアリン酸,ラウリルジメチルアミノ酢酸ベタイン,ヒポタウリン,ジオウエキス,カンゾウフラボノイド,フェノキシエタノール,パラオキシ安息香酸エステル,香料*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","949, 809, 308"
60,SHISEIDO,ホワイトRV エマルジョン,"４－メトキシサリチル酸カリウム塩*,酢酸ＤＬ－α－トコフェロール*,サイコエキスＢＳ,紅茶エキス,トウキエキス（１）,オリーブ葉エキス,ローヤルゼリーエキス,ニンジンエキス,タイムエキス（１）,アセチル化ヒアルロン酸ナトリウム,精製水,エタノール,ジプロピレングリコール,メチルポリシロキサン,濃グリセリン,メチルフェニルポリシロキサン,キシリット,トレハロース,２－エチルヘキサン酸セチル,イソステアリン酸ポリオキシエチレングリセリル,無水ケイ酸,モノステアリン酸ポリオキシエチレングリセリル,ベヘニルアルコール,カルボキシビニルポリマー,１，３－ブチレングリコール,バチルアルコール,水酸化カリウム,マカデミアナッツ油脂肪酸フィトステリル,Ｎ－ラウロイル－Ｌ－グルタミン酸ジ（フィトステリル・２－オクチルドデシル）,ポリオキシエチレン（１７）ポリオキシプロピレン（４）ジメチルエーテル,エデト酸二ナトリウム,キサンタンガム,メタリン酸ナトリウム,グリチルリチン酸ジカリウム,ピロ亜硫酸ナトリウム,ボタンエキス,フェノキシエタノール,香料,黄酸化鉄,ベンガラ　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","85, 308, 809"
61,SHISEIDO,ホワイトRV エマルジョン エンリッチド,"４－メトキシサリチル酸カリウム塩*,酢酸ＤＬ－α－トコフェロール*,サイコエキスＢＳ,紅茶エキス,トウキエキス（１）,オリーブ葉エキス,ローヤルゼリーエキス,ニンジンエキス,タイムエキス（１）,アセチル化ヒアルロン酸ナトリウム,精製水,エタノール,ジプロピレングリコール,メチルポリシロキサン,濃グリセリン,メチルフェニルポリシロキサン,キシリット,トレハロース,２－エチルヘキサン酸セチル,イソステアリン酸ポリオキシエチレングリセリル,無水ケイ酸,モノステアリン酸ポリオキシエチレングリセリル,ベヘニルアルコール,カルボキシビニルポリマー,１，３－ブチレングリコール,バチルアルコール,水酸化カリウム,マカデミアナッツ油脂肪酸フィトステリル,Ｎ－ラウロイル－Ｌ－グルタミン酸ジ（フィトステリル・２－オクチルドデシル）,ポリオキシエチレン（１７）ポリオキシプロピレン（４）ジメチルエーテル,エデト酸二ナトリウム,キサンタンガム,メタリン酸ナトリウム,グリチルリチン酸ジカリウム,ピロ亜硫酸ナトリウム,ボタンエキス,フェノキシエタノール,香料,黄酸化鉄,ベンガラ　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","85, 308, 809"
