id,company_name,product_name,composition,highest_similarity_ids
239,SHISEIDO,シンクロスキン セルフリフレッシング カスタムフィニッシュ パウダーファンデーション 130,"タルク,酸化チタン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,窒化ホウ素,ナイロン－１２,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,トリ（カプリル酸／カプリン酸）グリセリル,（ステアロキシメチコン／ジメチコン）コポリマー,ジメチコン,ジフェニルシロキシフェニルトリメチコン,ＰＣＡジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,真珠層末,メタケイ酸アルミン酸Ｍｇ,ポリクオタニウム－５１,アセチルヒアルロン酸Ｎａ,ワイルドタイムエキス,水添ポリイソブテン,ステアリン酸,水酸化Ａｌ,アモジメチコン,ステアリン酸Ｍｇ,ポリメチルシルセスキオキサン,エチルヘキシルグリセリン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,水,テトラデセン,ＢＧ,ＢＨＴ,ハイドロゲンジメチコン,トコフェロール,イソドデカン,ＰＥＧ／ＰＰＧ－１９／１９ジメチコン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,フェノキシエタノール,クロルフェネシン,合成金雲母鉄,合成金雲母,酸化鉄,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","637, 636, 635"
240,SHISEIDO,シンクロスキン セルフリフレッシング カスタムフィニッシュ パウダーファンデーション 160,"タルク,酸化チタン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,窒化ホウ素,ナイロン－１２,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,トリ（カプリル酸／カプリン酸）グリセリル,（ステアロキシメチコン／ジメチコン）コポリマー,ジメチコン,ジフェニルシロキシフェニルトリメチコン,ＰＣＡジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,真珠層末,メタケイ酸アルミン酸Ｍｇ,ポリクオタニウム－５１,アセチルヒアルロン酸Ｎａ,ワイルドタイムエキス,水添ポリイソブテン,ステアリン酸,水酸化Ａｌ,アモジメチコン,ステアリン酸Ｍｇ,ポリメチルシルセスキオキサン,エチルヘキシルグリセリン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,水,テトラデセン,ＢＧ,ＢＨＴ,ハイドロゲンジメチコン,トコフェロール,イソドデカン,ＰＥＧ／ＰＰＧ－１９／１９ジメチコン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,フェノキシエタノール,クロルフェネシン,合成金雲母鉄,合成金雲母,酸化鉄,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","637, 636, 635"
241,SHISEIDO,シンクロスキン セルフリフレッシング カスタムフィニッシュ パウダーファンデーション 220,"タルク,酸化チタン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,窒化ホウ素,ナイロン－１２,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,トリ（カプリル酸／カプリン酸）グリセリル,（ステアロキシメチコン／ジメチコン）コポリマー,ジメチコン,ジフェニルシロキシフェニルトリメチコン,ＰＣＡジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,真珠層末,メタケイ酸アルミン酸Ｍｇ,ポリクオタニウム－５１,アセチルヒアルロン酸Ｎａ,ワイルドタイムエキス,水添ポリイソブテン,ステアリン酸,水酸化Ａｌ,アモジメチコン,ステアリン酸Ｍｇ,ポリメチルシルセスキオキサン,エチルヘキシルグリセリン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,水,テトラデセン,ＢＧ,ＢＨＴ,ハイドロゲンジメチコン,トコフェロール,イソドデカン,ＰＥＧ／ＰＰＧ－１９／１９ジメチコン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,フェノキシエタノール,クロルフェネシン,合成金雲母鉄,合成金雲母,酸化鉄,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","637, 636, 635"
242,SHISEIDO,シンクロスキン セルフリフレッシング カスタムフィニッシュ パウダーファンデーション 250,"タルク,酸化チタン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,窒化ホウ素,ナイロン－１２,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,トリ（カプリル酸／カプリン酸）グリセリル,（ステアロキシメチコン／ジメチコン）コポリマー,ジメチコン,ジフェニルシロキシフェニルトリメチコン,ＰＣＡジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,真珠層末,メタケイ酸アルミン酸Ｍｇ,ポリクオタニウム－５１,アセチルヒアルロン酸Ｎａ,ワイルドタイムエキス,水添ポリイソブテン,ステアリン酸,水酸化Ａｌ,アモジメチコン,ステアリン酸Ｍｇ,ポリメチルシルセスキオキサン,エチルヘキシルグリセリン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,水,テトラデセン,ＢＧ,ＢＨＴ,ハイドロゲンジメチコン,トコフェロール,イソドデカン,ＰＥＧ／ＰＰＧ－１９／１９ジメチコン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,フェノキシエタノール,クロルフェネシン,合成金雲母鉄,合成金雲母,酸化鉄,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","637, 636, 635"
243,SHISEIDO,シンクロスキン セルフリフレッシング カスタムフィニッシュ パウダーファンデーション 310,"タルク,酸化チタン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,窒化ホウ素,ナイロン－１２,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,トリ（カプリル酸／カプリン酸）グリセリル,（ステアロキシメチコン／ジメチコン）コポリマー,ジメチコン,ジフェニルシロキシフェニルトリメチコン,ＰＣＡジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,真珠層末,メタケイ酸アルミン酸Ｍｇ,ポリクオタニウム－５１,アセチルヒアルロン酸Ｎａ,ワイルドタイムエキス,水添ポリイソブテン,ステアリン酸,水酸化Ａｌ,アモジメチコン,ステアリン酸Ｍｇ,ポリメチルシルセスキオキサン,エチルヘキシルグリセリン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,シリカ,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,水,テトラデセン,ＢＧ,ＢＨＴ,ハイドロゲンジメチコン,トコフェロール,イソドデカン,ＰＥＧ／ＰＰＧ－１９／１９ジメチコン,トリ（トリメチルシロキシ）シリルプロピルカルバミド酸プルラン,フェノキシエタノール,クロルフェネシン,合成金雲母鉄,合成金雲母,酸化鉄,マイカ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","637, 636, 635"
262,SHISEIDO,美つやBBパウダリー オークル1,"タルク,酸化チタン,窒化ホウ素,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,オキシ塩化ビスマス,焼成セリサイト,メトキシケイヒ酸エチルヘキシル,ジカプリン酸ネオペンチルグリコール,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,シリカ,（ステアロキシメチコン／ジメチコン）コポリマー,カルボキシデシルトリシロキサン,水酸化Ａｌ,ＰＥＧ／ＰＰＧ－３６／４１ジメチルエーテル,トレハロース,ローヤルゼリーエキス,セリシン,ヒアルロン酸Ｎａ,水溶性コラーゲン,（ＩＰＤＩ／ポリ（１，４－ブタンジオール）－１４）クロスポリマー,セスキイソステアリン酸ソルビタン,ステアリン酸,アモジメチコン,塩化亜鉛,ジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,エタノール,テトラデセン,グリセリン,トコフェロール,アルミナ,水,ハイドロゲンジメチコン,ＢＨＴ,酸化スズ,クエン酸,ソルビン酸Ｋ,クロルフェネシン,フェノキシエタノール,香料,合成金雲母,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
263,SHISEIDO,美つやBBパウダリー オークル2,"タルク,酸化チタン,窒化ホウ素,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,オキシ塩化ビスマス,焼成セリサイト,メトキシケイヒ酸エチルヘキシル,ジカプリン酸ネオペンチルグリコール,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,シリカ,（ステアロキシメチコン／ジメチコン）コポリマー,カルボキシデシルトリシロキサン,水酸化Ａｌ,ＰＥＧ／ＰＰＧ－３６／４１ジメチルエーテル,トレハロース,ローヤルゼリーエキス,セリシン,ヒアルロン酸Ｎａ,水溶性コラーゲン,（ＩＰＤＩ／ポリ（１，４－ブタンジオール）－１４）クロスポリマー,セスキイソステアリン酸ソルビタン,ステアリン酸,アモジメチコン,塩化亜鉛,ジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,エタノール,テトラデセン,グリセリン,トコフェロール,アルミナ,水,ハイドロゲンジメチコン,ＢＨＴ,酸化スズ,クエン酸,ソルビン酸Ｋ,クロルフェネシン,フェノキシエタノール,香料,合成金雲母,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
264,SHISEIDO,美つやBBパウダリー オークル3,"タルク,酸化チタン,窒化ホウ素,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,オキシ塩化ビスマス,焼成セリサイト,メトキシケイヒ酸エチルヘキシル,ジカプリン酸ネオペンチルグリコール,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,シリカ,（ステアロキシメチコン／ジメチコン）コポリマー,カルボキシデシルトリシロキサン,水酸化Ａｌ,ＰＥＧ／ＰＰＧ－３６／４１ジメチルエーテル,トレハロース,ローヤルゼリーエキス,セリシン,ヒアルロン酸Ｎａ,水溶性コラーゲン,（ＩＰＤＩ／ポリ（１，４－ブタンジオール）－１４）クロスポリマー,セスキイソステアリン酸ソルビタン,ステアリン酸,アモジメチコン,塩化亜鉛,ジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,エタノール,テトラデセン,グリセリン,トコフェロール,アルミナ,水,ハイドロゲンジメチコン,ＢＨＴ,酸化スズ,クエン酸,ソルビン酸Ｋ,クロルフェネシン,フェノキシエタノール,香料,合成金雲母,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
265,SHISEIDO,美つやBBパウダリー ピンクオークル1,"タルク,酸化チタン,窒化ホウ素,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,オキシ塩化ビスマス,焼成セリサイト,メトキシケイヒ酸エチルヘキシル,ジカプリン酸ネオペンチルグリコール,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,シリカ,（ステアロキシメチコン／ジメチコン）コポリマー,カルボキシデシルトリシロキサン,水酸化Ａｌ,ＰＥＧ／ＰＰＧ－３６／４１ジメチルエーテル,トレハロース,ローヤルゼリーエキス,セリシン,ヒアルロン酸Ｎａ,水溶性コラーゲン,（ＩＰＤＩ／ポリ（１，４－ブタンジオール）－１４）クロスポリマー,セスキイソステアリン酸ソルビタン,ステアリン酸,アモジメチコン,塩化亜鉛,ジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,エタノール,テトラデセン,グリセリン,トコフェロール,アルミナ,水,ハイドロゲンジメチコン,ＢＨＴ,酸化スズ,クエン酸,ソルビン酸Ｋ,クロルフェネシン,フェノキシエタノール,香料,合成金雲母,酸化鉄,マイカ,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
860,SHISEIDO,すっぴんメイカー トーンアップパウダーUV,"トラネキサム酸*,グリチルレチン酸ステアリル*,タルク,焼成セリサイト,ポリアクリル酸アルキル,トリ２－エチルヘキサン酸グリセリル,無水ケイ酸,メチルフェニルポリシロキサン,セスキイソステアリン酸ソルビタン,ナイロン末,水酸化アルミニウム,ステアリン酸,Ｎε－ラウロイル－Ｌ－リジン,ステアリン酸カルシウム,パルミチン酸デキストリン,クロルフェネシン,塩化ジステアリルジメチルアンモニウム,ｄ－δ－トコフェロール,テトラヒドロテトラメチルシクロテトラシロキサン,テトラデセン,ミリスチン酸マグネシウム,メチルポリシロキサン,メチルハイドロジェンポリシロキサン,合成金雲母,マイカ,微粒子酸化チタン,低温焼成酸化亜鉛,酸化チタン,硫酸バリウム,ベンガラ,黄酸化鉄,黒酸化鉄　　*は「有効成分」無表示は「その他の成分」商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","165, 164, 163"
