Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Polaris datapoint issue link),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Comment,Parent,Parent summary,Status Category
ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,AT-573,10595,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,24/Oct/23 2:05 AM,07/Nov/23 8:43 PM,22/Dec/23 12:13 AM,07/Nov/23 8:43 PM,,0,,,,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,所持品リスト：ユーザーは自分の所持品（愛用品）リストの情報を編集・削除できる,To Do,,purple,,,0|i001om:,,,,,,,,,,,,,,,,,,Done
デザインカンプ,AT-574,10596,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,24/Oct/23 2:05 AM,27/Oct/23 2:36 PM,22/Dec/23 12:13 AM,27/Oct/23 2:36 PM,,0,,"PC:[https://www.figma.com/file/e738Aj2UkL84XkKgPaB8y2/%E3%82%A2%E3%83%88%E3%83%A2%E3%83%8E?type=design&node-id=2512-6535&mode=design&t=vIsybVneinewISvh-4|https://www.figma.com/file/e738Aj2UkL84XkKgPaB8y2/%E3%82%A2%E3%83%88%E3%83%A2%E3%83%8E?type=design&node-id=2512-6535&mode=design&t=vIsybVneinewISvh-4|smart-link] 



!スクリーンショット 2023-10-24 3.57.29.png|width=890,height=1250!



mobile:[https://www.figma.com/file/e738Aj2UkL84XkKgPaB8y2/%E3%82%A2%E3%83%88%E3%83%A2%E3%83%8E?type=design&node-id=3772-9044&mode=design&t=vIsybVneinewISvh-4|https://www.figma.com/file/e738Aj2UkL84XkKgPaB8y2/%E3%82%A2%E3%83%88%E3%83%A2%E3%83%8E?type=design&node-id=3772-9044&mode=design&t=vIsybVneinewISvh-4|smart-link] 

!スクリーンショット 2023-10-24 3.57.55.png|width=845,height=599!",,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,24/Oct/23 3:58 AM;62d6d768657fc166e26036e9;スクリーンショット 2023-10-24 3.57.29.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10030,24/Oct/23 3:58 AM;62d6d768657fc166e26036e9;スクリーンショット 2023-10-24 3.57.55.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10029,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,purple,,,0|i0035j:,,,10/31,,,3.0,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
マンスリーレビューの資料作成,AT-575,10597,Story,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,24/Oct/23 9:45 PM,04/Nov/23 1:06 AM,22/Dec/23 12:13 AM,04/Nov/23 1:06 AM,,0,,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0036t:,,,10/31,11/7,,,,,,,,,,,,,,Done
frontendのcache制御,AT-576,10598,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Highest,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,25/Oct/23 5:13 AM,27/Oct/23 2:36 PM,22/Dec/23 12:13 AM,27/Oct/23 2:36 PM,,0,Frontend,"{{no-store}}の設定を反映させたい



[https://github.com/chubachi-pt-2023/atomono-front/pull/78|https://github.com/chubachi-pt-2023/atomono-front/pull/78|smart-link] 

[https://www.notion.so/data-cache-ef6dc2d92292459e8e1af8add24eab3c|https://www.notion.so/data-cache-ef6dc2d92292459e8e1af8add24eab3c|smart-link] ",,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002z7:,,,10/31,,,5.0,,,,,,,,,,,,Done
【イベント】アイスタイル様に環境提供,AT-577,10599,Epic,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,25/Oct/23 9:44 AM,19/Dec/23 8:48 PM,22/Dec/23 12:13 AM,,30/Nov/23 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,【イベント】アイスタイル様に環境提供,To Do,,purple,,,0|i001on:zpt,,,,,16/Sep/23 12:00 AM,,,,,,,,,,,,,To Do
【イベント】マンスリーレビュー（11月）,AT-580,10602,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,25/Oct/23 9:46 AM,21/Nov/23 9:51 PM,22/Dec/23 12:13 AM,21/Nov/23 9:44 PM,03/Dec/23 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,AT-634,,,,,,,,,,,,,,{},ghx-label-7,,,【イベント】マンスリーレビュー,To Do,,purple,,,0|i001om:d,,,,,20/Nov/23 12:00 AM,,,,,,,,,,,,,Done
【イベント】マンスリーレビュー（12月）,AT-581,10603,Epic,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,HibikiMizuno,62d6d768657fc166e26036e9,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,25/Oct/23 9:47 AM,19/Dec/23 8:48 PM,22/Dec/23 12:13 AM,,31/Dec/23 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,【イベント】マンスリーレビュー（12月）,To Do,,purple,,,0|i001on:zpu,,,12/26まで,,18/Dec/23 12:00 AM,,,,,,,,,,,,,To Do
【イベント】マンスリーレビュー（1月）,AT-582,10604,Epic,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,25/Oct/23 9:47 AM,25/Oct/23 10:00 AM,22/Dec/23 12:13 AM,,04/Feb/24 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,【イベント】マンスリーレビュー（1月）,To Do,,purple,,,0|i0037b:,,,,,22/Jan/24 12:00 AM,,,,,,,,,,,,,To Do
【イベント】最終成果発表（2月）,AT-584,10606,Epic,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,25/Oct/23 9:47 AM,25/Oct/23 10:00 AM,22/Dec/23 12:13 AM,,29/Feb/24 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,【イベント】最終成果発表（2月）,To Do,,purple,,,0|i0037r:,,,,,01/Jan/24 12:00 AM,,,,,,,,,,,,,To Do
【イベント】マンスリーレビュー（10月）,AT-585,10607,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,25/Oct/23 9:57 AM,07/Nov/23 6:04 PM,22/Dec/23 12:13 AM,07/Nov/23 6:04 PM,27/Oct/23 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,【イベント】マンスリーレビュー（10月）,To Do,,purple,,,0|i001o6:wf,,,,,16/Oct/23 12:00 AM,,,,,,,,,,,,,Done
