Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment1,Comment2,Comment3,Parent,Parent summary,Status Category
ヘッダー(検索formあり),AT-522,10544,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 5:17 AM,09/Nov/23 4:18 AM,21/Dec/23 9:49 PM,09/Nov/23 4:18 AM,,0,Frontend,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,10/Oct/23 5:17 AM;62d6d768657fc166e26036e9;スクリーンショット 2023-10-10 5.17.34.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10026,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,purple,,,0|i002w7:,,,,,,,,,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
STUB: Swaggerはatomono-frontを正とするため、atomono-stubには置かず、atomono-frontを参照するように変更,AT-523,10545,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 1:13 PM,10/Oct/23 11:26 PM,21/Dec/23 9:50 PM,10/Oct/23 11:26 PM,,0,,[https://github.com/chubachi-pt-2023/atomono-stub/pull/14|https://github.com/chubachi-pt-2023/atomono-stub/pull/14|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002wf:,,,10/17まで,,,,1.0,,,,,,,,,,,,,Done
ページへ適用 (フッターメニュー・ヘッダー(検索formなし)),AT-524,10546,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 1:25 PM,10/Oct/23 10:05 PM,21/Dec/23 9:50 PM,10/Oct/23 10:05 PM,,0,Frontend,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,purple,,,0|i002wn:,,,10/10まで,,,,5.0,,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
FE: モーダルのhooks作成,AT-525,10547,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Highest,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:23 PM,13/Oct/23 2:03 AM,21/Dec/23 9:50 PM,13/Oct/23 2:03 AM,,0,,"モーダルはtailwindで普通に実装してください。

モーダルを実装するに当たり、モーダル以外に2つやることがあります

h1. hooks

今回の場合は本当はいらないんですけど、せっかくなので用意しましょう。

シンプルなもので良いです。

h1. wrapperコンポーネント

{{'use client'}} なCSRのコンポーネントが必要です。このwrapperコンポーネント内でmodalの表示を出し分けるbuttonを設定すると良いです。



*_この内、このチケットではhooksを実装してください_*",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002wv:,,,10/17まで,,,,1.0,,,,,,,,11/Oct/23 3:28 AM;62d6d768657fc166e26036e9;hooksはhooksディレクトリにおいてください,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: モーダル上の商品の表示(UI),AT-526,10548,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:23 PM,17/Oct/23 1:05 PM,21/Dec/23 9:50 PM,17/Oct/23 1:05 PM,,0,,"hooksの方から先にやってください(AT-525)

このチケットではモーダル自体とモーダル上の商品の表示を行ってください


ページにbuttonを設置する必要はありません。storybook等を活用するなどして、実装を進めてください。",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i001za:1,,,10/17まで,,,,,,,,,,,,11/Oct/23 3:47 AM;62d6d768657fc166e26036e9;[https://chubachi-pt-2023.slack.com/archives/C053FF1M4AY/p1696961164899479?thread_ts=1696948086.590509&cid=C053FF1M4AY|https://chubachi-pt-2023.slack.com/archives/C053FF1M4AY/p1696961164899479?thread_ts=1696948086.590509&cid=C053FF1M4AY|smart-link] 　ひんと,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: モーダルの所持品リスト追加ロジックと検索ロジック実装,AT-527,10549,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:24 PM,17/Oct/23 1:05 PM,21/Dec/23 9:50 PM,17/Oct/23 1:05 PM,,0,,"こちらをUIより先にやったほうが良いかも。



CSS(tailwind)は後追いでいい。最悪遅れても、DEMOできるし。",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i001za:2,,,10/17まで,,,,5.0,,,,,,,,14/Oct/23 10:00 AM;62d6d768657fc166e26036e9;UIもやっちゃう。,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
BE: ユーザが所持品リストの商品使用期間を更新するAPIをPATCHで実装する,AT-528,10550,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,10/Oct/23 9:38 PM,23/Oct/23 11:26 PM,21/Dec/23 9:50 PM,23/Oct/23 11:26 PM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002qf:d,,,10/24,,,,3.0,,,,,,,,23/Oct/23 11:25 PM;63987e6af78d12c0f47112a9;[https://chubachi-pt-2023.atlassian.net/browse/AT-506|https://chubachi-pt-2023.atlassian.net/browse/AT-506|smart-link] で同時に対応しました。クローズします,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: 所持品ページ作成(ロジック込み),AT-529,10551,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:59 PM,17/Oct/23 6:32 PM,21/Dec/23 9:50 PM,17/Oct/23 6:32 PM,,0,,コンポーネントがないうちは、UIは適当に(styleを当てずに)作って、後で差し替えてください,,Fernández,HibikiMizuno,712020:744719ff-9f36-45ea-ad59-e50534df8206,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002xb:,,,10/17まで,,,,5.0,,,12/Oct/23 12:00 AM,,,,2023-10-13 13:04:12.969,13/Oct/23 10:04 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;[https://github.com/chubachi-pt-2023/atomono-front/pull/58|https://github.com/chubachi-pt-2023/atomono-front/pull/58],,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
OpenAPI更新: postリクエストはproductIds(number[])とする。,AT-530,10552,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 10:09 PM,24/Oct/23 12:02 AM,21/Dec/23 9:50 PM,18/Oct/23 3:35 AM,,0,,[https://github.com/chubachi-pt-2023/atomono-front/pull/65|https://github.com/chubachi-pt-2023/atomono-front/pull/65|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002xj:,,,10/24,,,,1.0,,,,,,,,,,,,,Done
frontリポジトリのRule作成・反映,AT-531,10553,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,11/Oct/23 9:39 PM,19/Oct/23 9:28 AM,21/Dec/23 9:50 PM,19/Oct/23 9:28 AM,,0,,"* merge権限を絞る？
* TL以外は1人以上のapproveを必要とする",,Dai Miyahara,HibikiMizuno,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002xr:,,,10/17まで,10/24,,,3.0,,,,,,,2023-10-19 00:28:07.136,14/Oct/23 9:15 AM;62d6d768657fc166e26036e9;[https://docs.github.com/ja/enterprise-cloud@latest/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/creating-rulesets-for-a-repository|https://docs.github.com/ja/enterprise-cloud@latest/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/creating-rulesets-for-a-repository],19/Oct/23 9:28 AM;712020:018c35d4-6ec5-41ac-a897-9037924f51e7;GitHub Educationの申請が通ったが、Organization内のPrivate Repositoryにルールを反映する場合Enterpriseじゃないとだめっぽい,,,,Done
