Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Custom field (Reviewer)Id,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment1,Comment2,Parent,Parent summary,Status Category
BE: ユーザ本人以外リストを編集できないように認可処理を追加する,AT-550,10572,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,17/Oct/23 10:24 AM,24/Oct/23 9:35 AM,22/Dec/23 12:08 AM,24/Oct/23 9:35 AM,,0,,,,satoshi.hirata,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002qf:f,,,,10/24,,,,3.0,,,,,,,,24/Oct/23 9:35 AM;63987e6af78d12c0f47112a9;[https://chubachi-pt-2023.atlassian.net/browse/AT-506|https://chubachi-pt-2023.atlassian.net/browse/AT-506|smart-link] の中で同時に対応しました。クローズします,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
NextAuthの導入可否、導入優先度を決める。,AT-551,10573,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 9:12 PM,22/Oct/23 6:56 PM,22/Dec/23 12:08 AM,22/Oct/23 6:15 PM,,0,,,,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,AT-268,ユーザーがサインアップ・サインアウトできること【共通】,,,,purple,,,0|i002xf:,,,,10/24,,,,3.0,,,,,,,,22/Oct/23 6:15 PM;62d6d768657fc166e26036e9;導入優先度は低め。認証を使った機能が増える場合、導入の優先度を上げるかもしれません。また、NextAuthでは最初はgoogleProviderではなく、email-passwordにするかも？,"22/Oct/23 6:56 PM;62d6d768657fc166e26036e9;現状はfirebase authenticationをつかって, providerはgoogleのみで実装します。

*ただfirebaseは検証のためのもので、本番でそのまま使う可能性は低いと考えています。*",10290,ユーザーがサインアップ・サインアウトできること【共通】,Done
BE: cors.rbのcredentials: true設定を削除する,AT-552,10574,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,17/Oct/23 9:18 PM,18/Oct/23 2:04 AM,22/Dec/23 12:08 AM,18/Oct/23 1:23 AM,,0,,Cookieを利用する場合の余分な設定が入っている,,satoshi.hirata,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031b:,,,,10/24,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
BE: cors.rbに許可の追加設定を入れる,AT-553,10575,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,17/Oct/23 9:52 PM,18/Oct/23 2:13 AM,22/Dec/23 12:08 AM,18/Oct/23 2:13 AM,,0,,,,satoshi.hirata,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031j:,,,,10/24,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
レスポンシブ対応： 所持品リスト画面,AT-554,10576,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,17/Oct/23 9:56 PM,22/Oct/23 9:09 PM,22/Dec/23 12:08 AM,22/Oct/23 9:09 PM,,0,,,,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031r:,,,,10/31,11/7,,,,,,,,,,,22/Oct/23 9:09 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;[https://github.com/chubachi-pt-2023/atomono-front/pull/69|https://github.com/chubachi-pt-2023/atomono-front/pull/69]　にて解決,,10494,所持品リスト・追加モーダル画面,Done
レスポンシブ対応：所持品リスト追加モダル,AT-555,10577,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,17/Oct/23 9:57 PM,04/Nov/23 9:34 AM,22/Dec/23 12:08 AM,04/Nov/23 9:34 AM,,0,,,,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031z:,,,,10/31,11/7,,,3.0,,,,,,,,,,10494,所持品リスト・追加モーダル画面,Done
スタイル崩れの箇所の起票,AT-557,10579,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:05 PM,18/Oct/23 2:53 AM,22/Dec/23 12:08 AM,18/Oct/23 2:53 AM,,0,Frontend,少し画面サイズが変わると崩れるcomponentがあったりするので、改善できるところを探す。,,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i00327:,,,,10/24,,,,1.0,,,,,,,,,,,,Done
ログインPOC v2,AT-558,10580,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:34 PM,25/Oct/23 4:19 AM,22/Dec/23 12:08 AM,25/Oct/23 4:18 AM,,0,,"とりあえずPOCのブランチをupdateするか、新しく作り直すかする



DesignDocを書いて別途実装するか、そのままリリースするかも決めよう",,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,AT-268,ユーザーがサインアップ・サインアウトできること【共通】,,,,,,,0|i0032f:,,,,10/24,10/31,,,3.0,,,,,,,,"25/Oct/23 4:19 AM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/31|https://github.com/chubachi-pt-2023/atomono-front/pull/31|smart-link] 



POCそのままリリース",,10290,ユーザーがサインアップ・サインアウトできること【共通】,Done
vercel以外の別のSaasでデプロイしてみて、CORSが確認できるかどうかを調査,AT-560,10582,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:47 PM,18/Oct/23 2:23 AM,22/Dec/23 12:08 AM,18/Oct/23 2:23 AM,,0,,,,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0032v:,,,,10/24,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
Vercelの設定見直し,AT-561,10583,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:47 PM,22/Oct/23 3:13 PM,22/Dec/23 12:08 AM,22/Oct/23 3:13 PM,,0,,,,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0032n:,,,,10/24,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
