Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Comment,Parent,Parent summary,Status Category
検索結果画面,AT-468,10490,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,08/Sep/23 11:51 PM,22/Oct/23 3:04 PM,22/Dec/23 12:09 AM,22/Oct/23 3:04 PM,,0,,"widthでレスポンシブ対応するのが常套ですが, 最近はagentをみて判断するのが最先端って感じらしい

タッチデバイスか否かを判別したいモチベーションはわかるので, agentを見る機構はinfraに書いても良さそう



あと [https://developer.mozilla.org/ja/docs/Web/CSS/clamp|https://developer.mozilla.org/ja/docs/Web/CSS/clamp|smart-link]  これも気になる",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i002nz:,,,10/17まで,10/24,,,,,,,3.0,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
廃盤品詳細画面,AT-469,10491,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,08/Sep/23 11:51 PM,21/Oct/23 5:15 PM,22/Dec/23 12:09 AM,21/Oct/23 5:15 PM,,0,,Figma: [https://www.figma.com/file/e738Aj2UkL84XkKgPaB8y2/アトモノ?type=design&node-id=3014-1677&mode=design&t=imACBBvDQbT3utu6-4|https://www.figma.com/file/e738Aj2UkL84XkKgPaB8y2/%E3%82%A2%E3%83%88%E3%83%A2%E3%83%8E?type=design&node-id=3014-1677&mode=design&t=imACBBvDQbT3utu6-4],,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i002qf:i,,,summer-activity5,summer-activity6,summer-activity7,summer-activity8,10/10まで,10/17まで,10/24,,3.0,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
BE: ユーザの所持品リストに商品を追加するAPIを作成する,AT-490,10512,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,24/Sep/23 2:48 AM,17/Oct/23 1:50 AM,22/Dec/23 12:09 AM,17/Oct/23 1:50 AM,,0,Backend,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002y9:,,,10/17まで,,,,,,,,3.0,,,,,,,,"24/Sep/23 2:49 AM;63987e6af78d12c0f47112a9;{{Users::Has:ProductsController }}

{{action: create}}",,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
所持品リスト用商品カード,AT-512,10534,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,06/Oct/23 11:53 PM,18/Oct/23 7:48 AM,22/Dec/23 12:09 AM,17/Oct/23 6:37 PM,,0,,,,Fernández,,712020:744719ff-9f36-45ea-ad59-e50534df8206,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002un:,,,,,,,,,,,,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: モーダル上の商品の表示(UI),AT-526,10548,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:23 PM,17/Oct/23 1:05 PM,22/Dec/23 12:09 AM,17/Oct/23 1:05 PM,,0,,"hooksの方から先にやってください(AT-525)

このチケットではモーダル自体とモーダル上の商品の表示を行ってください


ページにbuttonを設置する必要はありません。storybook等を活用するなどして、実装を進めてください。",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i001za:1,,,10/17まで,,,,,,,,,,,,,,,,11/Oct/23 3:47 AM;62d6d768657fc166e26036e9;[https://chubachi-pt-2023.slack.com/archives/C053FF1M4AY/p1696961164899479?thread_ts=1696948086.590509&cid=C053FF1M4AY|https://chubachi-pt-2023.slack.com/archives/C053FF1M4AY/p1696961164899479?thread_ts=1696948086.590509&cid=C053FF1M4AY|smart-link] 　ひんと,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: モーダルの所持品リスト追加ロジックと検索ロジック実装,AT-527,10549,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:24 PM,17/Oct/23 1:05 PM,22/Dec/23 12:09 AM,17/Oct/23 1:05 PM,,0,,"こちらをUIより先にやったほうが良いかも。



CSS(tailwind)は後追いでいい。最悪遅れても、DEMOできるし。",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i001za:2,,,10/17まで,,,,,,,,5.0,,,,,,,,14/Oct/23 10:00 AM;62d6d768657fc166e26036e9;UIもやっちゃう。,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: 所持品ページ作成(ロジック込み),AT-529,10551,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:59 PM,17/Oct/23 6:32 PM,22/Dec/23 12:09 AM,17/Oct/23 6:32 PM,,0,,コンポーネントがないうちは、UIは適当に(styleを当てずに)作って、後で差し替えてください,,Fernández,HibikiMizuno,712020:744719ff-9f36-45ea-ad59-e50534df8206,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002xb:,,,10/17まで,,,,,,,,5.0,,,12/Oct/23 12:00 AM,,,,2023-10-13 13:04:12.969,13/Oct/23 10:04 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;[https://github.com/chubachi-pt-2023/atomono-front/pull/58|https://github.com/chubachi-pt-2023/atomono-front/pull/58],,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
frontリポジトリのRule作成・反映,AT-531,10553,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,11/Oct/23 9:39 PM,19/Oct/23 9:28 AM,22/Dec/23 12:09 AM,19/Oct/23 9:28 AM,,0,,"* merge権限を絞る？
* TL以外は1人以上のapproveを必要とする",,Dai Miyahara,HibikiMizuno,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002xr:,,,10/17まで,10/24,,,,,,,3.0,,,,,,,2023-10-19 00:28:07.136,14/Oct/23 9:15 AM;62d6d768657fc166e26036e9;[https://docs.github.com/ja/enterprise-cloud@latest/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/creating-rulesets-for-a-repository|https://docs.github.com/ja/enterprise-cloud@latest/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/creating-rulesets-for-a-repository],19/Oct/23 9:28 AM;712020:018c35d4-6ec5-41ac-a897-9037924f51e7;GitHub Educationの申請が通ったが、Organization内のPrivate Repositoryにルールを反映する場合Enterpriseじゃないとだめっぽい,,,Done
BE: bearer tokenからUIDを取得するようにparamsを修正,AT-535,10557,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,14/Oct/23 2:28 AM,17/Oct/23 1:51 AM,22/Dec/23 12:09 AM,17/Oct/23 1:51 AM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002yb:,,,10/17まで,,,,,,,,3.0,,,,,,,,17/Oct/23 1:51 AM;63987e6af78d12c0f47112a9;[https://chubachi-pt-2023.atlassian.net/browse/AT-490|https://chubachi-pt-2023.atlassian.net/browse/AT-490|smart-link] の中で対応済,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
モバイル用ヘッダーコンポーネント作成（検索フォームあり）,AT-537,10559,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,14/Oct/23 10:06 AM,22/Oct/23 3:14 PM,22/Dec/23 12:09 AM,22/Oct/23 3:14 PM,,0,,,,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002yn:,,,10/17まで,10/24,,,,,,,,,,,,,,,,,10490,検索結果画面,Done
