Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
FE: staging環境(devのデプロイ)を用意し、常にdeployされている状況にする,AT-596,10627,Story,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,31/Oct/23 8:06 PM,04/Nov/23 3:31 PM,22/Dec/23 12:14 AM,04/Nov/23 3:31 PM,,0,"vercelでSTAGE_NAMEを定義し、ブランチで分けたい



dev: development

main: production",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003c7:,,,11/7,,,,,5.0,,,,,,,,31/Oct/23 8:16 PM;62d6d768657fc166e26036e9;これが設定されると、QAフェーズを定義することができて、デプロイ環境上でQAできる,31/Oct/23 8:31 PM;62d6d768657fc166e26036e9;[https://zenn.dev/keitakn/articles/nextjs-vercel-create-staging|https://zenn.dev/keitakn/articles/nextjs-vercel-create-staging],01/Nov/23 1:15 AM;62d6d768657fc166e26036e9;[https://zenn.dev/ttskch/articles/691fb62fbb6b1b|https://zenn.dev/ttskch/articles/691fb62fbb6b1b],"01/Nov/23 9:23 PM;62d6d768657fc166e26036e9;フロント：

[https://github.com/chubachi-pt-2023/atomono-front/pull/88|https://github.com/chubachi-pt-2023/atomono-front/pull/88|smart-link]
 - CI/CD設定完了","01/Nov/23 9:53 PM;62d6d768657fc166e26036e9;ドメイン: 


本番環境: [https://atomono.vercel.app/|https://atomono.vercel.app/|smart-link]  
preview環境: [https://front-jabelic.vercel.app/|https://front-jabelic.vercel.app/]",,,Done
検証：strapiをいじってみよう(CMS用途),AT-597,10628,Story,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,31/Oct/23 8:25 PM,14/Nov/23 7:52 PM,22/Dec/23 12:14 AM,14/Nov/23 7:52 PM,,0,重い！いらない！,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003dq:,,,11/7,11/14,,,,1.0,,,,,,,,03/Nov/23 1:43 PM;62d6d768657fc166e26036e9;refine.jsとかもいいなと思っていたり,,,,,,,Done
FE: 追加した所持品がリストに反映されない,AT-598,10629,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,31/Oct/23 9:35 PM,04/Nov/23 9:34 AM,22/Dec/23 12:14 AM,04/Nov/23 9:34 AM,,0,"!Peek 2023-10-31 21-47-adding-bug.mp4|width=1254,height=904!

一回目は成功するが、それ以降エラーがでます。

更新後、エラーが出なくなりますが、リアルタイムで反映されなくかります。再度更新すると表示されます。",,,,,,,,,,,,,,31/Oct/23 9:52 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;Peek 2023-10-31 21-47-adding-bug.mp4;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10032,,,,,,,,,,{},,,,,,,,,,0|i003cn:,,,,,,,,,,,,,,,,,,,,,,,Done
ユーザーが商品を検索時にフィルタリングできること,AT-599,10630,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,31/Oct/23 9:36 PM,05/Dec/23 8:59 PM,05/Dec/23 12:00 AM,05/Dec/23 8:58 PM,,0,,,Kenta Nakayama,,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,ユーザーが商品を検索できること,To Do,,purple,,,0|i001om:hu,,,,,,,,,,,,,,,,,,,,,,,Done
BE: 【データ取得スクリプト修正】データ元に合わせる,AT-600,10631,Task,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,31/Oct/23 9:37 PM,31/Oct/23 9:37 PM,22/Dec/23 12:14 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003cv:,,,,,,,,,,,,,,,,,,,,,,,To Do
ユーザーがアトモノを使う時に商品画像が見ることができる,AT-601,10632,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,31/Oct/23 9:41 PM,21/Nov/23 9:51 PM,22/Dec/23 12:14 AM,14/Nov/23 7:49 PM,,0,,,Kenta Nakayama,,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,,ユーザーがATOMOを使う時に商品画像が見ることができる,To Do,,purple,,,0|i001om:9,,,,,,,,,,,,,,,,,,,,,,,Done
storybookが落ちて、起動できない,AT-602,10633,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,31/Oct/23 11:48 PM,04/Nov/23 5:57 PM,22/Dec/23 12:14 AM,04/Nov/23 5:57 PM,,0,[https://github.com/chubachi-pt-2023/atomono-front/pull/92|https://github.com/chubachi-pt-2023/atomono-front/pull/92|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003d3:,,,11/7,,,,,,,,,,,,,02/Nov/23 2:41 AM;62d6d768657fc166e26036e9;[https://zenn.dev/akky1991/articles/7a8fb3ec6092dc|https://zenn.dev/akky1991/articles/7a8fb3ec6092dc],,,,,,,Done
フィルター要件に基づいたUIの再設計,AT-603,10634,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,01/Nov/23 12:21 AM,05/Nov/23 5:49 PM,22/Dec/23 12:14 AM,05/Nov/23 5:49 PM,,0,"{{| ブランド | master_brands | エリクシール, ナイーブなど |}}

* 文字列検索

{{| カテゴリ | master_categories | 化粧水, 保湿液など |}}

* フロントで用意した文字列を選択することにより検索

{{| 会社名 | master_companies | クラシエ, 資生堂など |}}

* 文字列検索

{{| 原産国 | master_countries | アメリカ, イタリアなど |}}

* 一旦なし

{{| 価格 | products.price | 100, 2100など |}}

* 文字列検索(number)

{{| 生産終了時期 | products.discontinued_on |}}

* 一旦なし

{{| サイズ | products.size | 幅85mm×高さ135mm×奥行き8mmなど |}}

* 一旦なし

{{| 容量 | products.capacity | 500ml, 8gなど |}}

* 一旦なし

{{| 成分 | products.composition | 保湿液など |}}

* 一旦なし

----



フィルターv1

* 会社名でフィルター

フィルターv2

* ブランドでフィルター
* 価格でフィルター

フィルターv3

* カテゴリーでフィルター",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-599,ユーザーが商品を検索時にフィルタリングできること,,,,purple,,,0|i003db:,,,11/7,,,,,1.0,,,,,,,,,,,,,10630,ユーザーが商品を検索時にフィルタリングできること,Done
【WSL】local-apiがのローカルデータ元を参照しない,AT-605,10636,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,01/Nov/23 10:38 PM,09/Nov/23 10:02 PM,22/Dec/23 12:14 AM,09/Nov/23 10:02 PM,,0,"・MySQL機動中を確認し、Backendがそれを参照していることを確認しています。

・curl で、APIの方からDBにあるものが帰ってくることを確認しています。

・front実行コマンド： npm run wsl:dev:local-api

・しかし、frontは、herokuのデータを参照しているっぽい…",,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003dj:,,,,,,,,,,,,,,,,,,,,,,,Done
DBアクセス用の踏み台インスタンスを作成,AT-606,10637,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,02/Nov/23 7:00 PM,10/Nov/23 12:50 PM,22/Dec/23 12:14 AM,10/Nov/23 12:50 PM,,0,"MySQL clientが入っている状態にする

SecurityGroupの設定の観点から、APP Subnetに構築する",,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,AT-83,ユーザーがAWS環境上でアトモノを利用できること【インフラ構築】,,,,purple,,,0|i000qg:,,,11/7,11/14,,,,,,,,,,,,,,,,,10105,ユーザーがAWS環境上でアトモノを利用できること【インフラ構築】,Done
