Name,Description,Visibility,Created,"Total membership","Messages posted","Members who posted","Members who viewed"
atomono-backend,バックエンドのメインチャンネルです。,public,"Apr 26, 2023",8,19,5,7
atomono-dev,,public,"May 6, 2023",8,20,3,7
atomono-frontend,"フロントエンドのメインチャンネルです。

prod環境: <https://atomono.vercel.app/>
dev環境: <https://front-jabelic.vercel.app/>",public,"Apr 25, 2023",8,158,7,7
atomono-jira,JIRA上で管理しているタスクのイベントが通知されるチャンネルです,public,"Apr 26, 2023",8,0,0,5
chit-chat,雑談のチャンネルです。,public,"May 13, 2023",5,6,2,5
daily-satoshi-hirata,ひらたの日報チャンネル,public,"Jul 12, 2023",1,5,1,1
data-collection,,public,"Sep 5, 2023",8,0,0,0
general,"このチャンネルでは、どんなことでも話せます。チーム内のジョークや、とっさに思い付いたアイデア、おもしろい GIF 画像を投稿できます。思いのままに活用しましょう！",public,"Mar 11, 2023",8,2,2,7
github-backend,,public,"May 30, 2023",1,0,0,1
lives,,public,"Aug 5, 2023",8,0,0,0
meetings,,public,"Apr 18, 2023",8,7,3,7
share-attendance,お休みや参加できない場合は報告しましょう,public,"Apr 24, 2023",8,7,4,7
share-scrum-activities,"Describe scrum activity in bot thread",public,"Apr 4, 2023",8,16,4,7
share-starting-work,作業開始や終了など作業してるかわかりやすくなるため。同期できる時にしやすくする。,public,"Oct 10, 2023",8,40,5,7
study-agile,,public,"May 23, 2023",8,0,0,0
study-backend,,public,"May 23, 2023",8,0,0,1
study-frontend,,public,"May 23, 2023",4,0,0,2
times-dai-miyahara,"宮原大のtimes, 色々なことつぶやきます",public,"Apr 18, 2023",8,9,1,7
times-fernandez,,public,"May 11, 2023",8,21,4,7
times-hibiki-mizuno,分報チャンネル,public,"Apr 15, 2023",7,49,3,7
times-hiroto-ohno,,public,"May 16, 2023",8,2,1,7
times-maki-suzuki,,public,"May 16, 2023",8,2,1,6
times-nakayama,,public,"Apr 18, 2023",8,16,1,7
times-satoshi-hirata,分報ch。作業中に調べためもや進捗や雑談めいた独り言もぼやきます。入退出ご自由にどうぞ:melting_face:,public,"Apr 15, 2023",7,32,3,7
tips,,public,"Apr 15, 2023",8,1,1,6
ui-ux,UserInterfaceとUserExperienceについて話すチャンネル,public,"Apr 25, 2023",8,0,0,0
web-services-status,,public,"Aug 3, 2023",1,9,0,0
z_archived_test_general,このチャンネルには、常にすべてのメンバーが含まれます。社内通知やチーム全体の会話にぴったりです。,public,"Mar 11, 2023",8,0,0,0
